source_node	target_node	Source Node Attribute	Target Node Attribute
2ZH9-B	2ZH9-A	lncRNA	protein
3BOY-D	3BOY-C	lncRNA	protein
5MSF-R	5MSF-A	lncRNA	protein
2B3J-H	2B3J-C	lncRNA	protein
2AZ2-D	2AZ2-B	lncRNA	protein
3IWN-B	3IWN-D	lncRNA	protein
2DRA-B	2DRA-A	lncRNA	protein
2F8K-B	2F8K-A	lncRNA	protein
1K8W-B	1K8W-A	lncRNA	protein
2IZM-R	2IZM-C	lncRNA	protein
1U6P-B	1U6P-A	lncRNA	protein
1EXD-B	1EXD-A	lncRNA	protein
2GJW-I	2GJW-C	lncRNA	protein
3DKN-F	3DKN-A	lncRNA	protein
3AKZ-E	3AKZ-B	lncRNA	protein
3AL0-E	3AL0-B	lncRNA	protein
3AL0-E	3AL0-C	lncRNA	protein
2BU1-S	2BU1-C	lncRNA	protein
2BS0-S	2BS0-C	lncRNA	protein
2J0S-E	2J0S-T	lncRNA	protein
2J0S-E	2J0S-A	lncRNA	protein
1XOK-A	1XOK-C	lncRNA	protein
1L1C-C	1L1C-A	lncRNA	protein
2BQ5-R	2BQ5-A	lncRNA	protein
2PXF-B	2PXF-A	lncRNA	protein
3A2K-D	3A2K-B	lncRNA	protein
2GJW-E	2GJW-B	lncRNA	protein
2ESE-B	2ESE-A	lncRNA	protein
1AQ3-S	1AQ3-C	lncRNA	protein
3IVK-C	3IVK-B	lncRNA	protein
2DR5-B	2DR5-A	lncRNA	protein
2OJ3-B	2OJ3-A	lncRNA	protein
2B63-R	2B63-B	lncRNA	protein
2B63-R	2B63-A	lncRNA	protein
1AQ4-R	1AQ4-A	lncRNA	protein
1EKZ-B	1EKZ-A	lncRNA	protein
1ZDI-S	1ZDI-B	lncRNA	protein
2W2H-S	2W2H-A	lncRNA	protein
2W2H-S	2W2H-D	lncRNA	protein
2JPP-C	2JPP-B	lncRNA	protein
1J1U-B	1J1U-A	lncRNA	protein
1B23-R	1B23-P	lncRNA	protein
1U0B-A	1U0B-B	lncRNA	protein
2NUE-C	2NUE-B	lncRNA	protein
2NR0-H	2NR0-C	lncRNA	protein
2EZ6-C	2EZ6-A	lncRNA	protein
1ZBH-E	1ZBH-A	lncRNA	protein
3D5C-V	3D5C-X	lncRNA	protein
2B6G-B	2B6G-A	lncRNA	protein
3EQ4-Y	3EQ4-X	lncRNA	protein
2AZ0-D	2AZ0-B	lncRNA	protein
1IL2-D	1IL2-A	lncRNA	protein
1ASZ-R	1ASZ-B	lncRNA	protein
1R3E-C	1R3E-A	lncRNA	protein
2B64-X	2B64-Y	lncRNA	protein
1Q2S-F	1Q2S-B	lncRNA	protein
2PXU-B	2PXU-A	lncRNA	protein
3DEG-I	3DEG-C	lncRNA	protein
2ZH1-B	2ZH1-A	lncRNA	protein
2C4Z-S	2C4Z-C	lncRNA	protein
3A6P-J	3A6P-H	lncRNA	protein
3A6P-J	3A6P-F	lncRNA	protein
2B3J-F	2B3J-A	lncRNA	protein
2B2G-S	2B2G-C	lncRNA	protein
2C4Q-S	2C4Q-C	lncRNA	protein
2AB4-B	2AB4-A	lncRNA	protein
3DKN-D	3DKN-A	lncRNA	protein
3EQ3-Y	3EQ3-X	lncRNA	protein
2RFK-E	2RFK-A	lncRNA	protein
2WYY-R	2WYY-F	lncRNA	protein
2BNY-R	2BNY-B	lncRNA	protein
1M5K-B	1M5K-C	lncRNA	protein
2J28-8	2J28-9	lncRNA	protein
1E8S-C	1E8S-B	lncRNA	protein
1E8S-C	1E8S-A	lncRNA	protein
3K0J-F	3K0J-D	lncRNA	protein
2OZB-F	2OZB-D	lncRNA	protein
2OZB-C	2OZB-B	lncRNA	protein
1R9F-B	1R9F-A	lncRNA	protein
2XB2-E	2XB2-T	lncRNA	protein
2XB2-E	2XB2-A	lncRNA	protein
2DRB-B	2DRB-A	lncRNA	protein
1OB5-B	1OB5-C	lncRNA	protein
2B2G-R	2B2G-C	lncRNA	protein
2C50-S	2C50-C	lncRNA	protein
2ZHB-B	2ZHB-A	lncRNA	protein
1URN-Q	1URN-B	lncRNA	protein
3KTW-C	3KTW-A	lncRNA	protein
2DU4-C	2DU4-A	lncRNA	protein
2DR2-B	2DR2-A	lncRNA	protein
2AZX-C	2AZX-A	lncRNA	protein
2PXE-B	2PXE-A	lncRNA	protein
2BTE-E	2BTE-D	lncRNA	protein
2X7N-A	2X7N-B	lncRNA	protein
1U1Y-R	1U1Y-A	lncRNA	protein
3CZ3-H	3CZ3-D	lncRNA	protein
2BS1-R	2BS1-B	lncRNA	protein
1RPU-C	1RPU-A	lncRNA	protein
3MR8-W	3MR8-V	lncRNA	protein
3KIX-V	3KIX-Y	lncRNA	protein
3HUY-W	3HUY-V	lncRNA	protein
2FMT-C	2FMT-B	lncRNA	protein
2XFZ-V	2XFZ-Y	lncRNA	protein
2WRK-V	2WRK-Y	lncRNA	protein
1SJF-B	1SJF-A	lncRNA	protein
1VBX-B	1VBX-A	lncRNA	protein
1VBY-B	1VBY-A	lncRNA	protein
2AZ0-C	2AZ0-A	lncRNA	protein
2BNY-S	2BNY-C	lncRNA	protein
2V0G-F	2V0G-A	lncRNA	protein
3ID5-D	3ID5-A	lncRNA	protein
2ANR-B	2ANR-A	lncRNA	protein
2PJP-B	2PJP-A	lncRNA	protein
1SER-T	1SER-B	lncRNA	protein
2PXL-B	2PXL-A	lncRNA	protein
1H4S-T	1H4S-A	lncRNA	protein
1HVU-L	1HVU-K	lncRNA	protein
1HVU-F	1HVU-A	lncRNA	protein
1HVU-C	1HVU-D	lncRNA	protein
1RKJ-B	1RKJ-A	lncRNA	protein
1DZ5-C	1DZ5-A	lncRNA	protein
2GTT-X	2GTT-T	lncRNA	protein
2BU1-R	2BU1-C	lncRNA	protein
2GTT-W	2GTT-D	lncRNA	protein
2IZ9-R	2IZ9-C	lncRNA	protein
2PXP-B	2PXP-A	lncRNA	protein
2ZZN-D	2ZZN-A	lncRNA	protein
1QU3-T	1QU3-A	lncRNA	protein
1R9F-C	1R9F-A	lncRNA	protein
2XLK-C	2XLK-A	lncRNA	protein
1QFQ-A	1QFQ-B	lncRNA	protein
1EFW-D	1EFW-B	lncRNA	protein
1C0A-B	1C0A-A	lncRNA	protein
2HVY-E	2HVY-A	lncRNA	protein
2BS0-R	2BS0-C	lncRNA	protein
3HAX-E	3HAX-A	lncRNA	protein
2F8S-C	2F8S-A	lncRNA	protein
2GO5-A	2GO5-W	lncRNA	protein
2GO5-A	2GO5-B	lncRNA	protein
2GO5-A	2GO5-2	lncRNA	protein
2GO5-A	2GO5-1	lncRNA	protein
2BX2-R	2BX2-L	lncRNA	protein
1GTN-W	1GTN-L	lncRNA	protein
1GTN-W	1GTN-C	lncRNA	protein
1A1T-B	1A1T-A	lncRNA	protein
1F7U-B	1F7U-A	lncRNA	protein
2BS1-S	2BS1-C	lncRNA	protein
3A6P-D	3A6P-C	lncRNA	protein
3A6P-I	3A6P-F	lncRNA	protein
1GAX-C	1GAX-A	lncRNA	protein
1ZJW-B	1ZJW-A	lncRNA	protein
3KIU-A	3KIU-Y	lncRNA	protein
3HJY-D	3HJY-A	lncRNA	protein
1R3E-D	1R3E-A	lncRNA	protein
3HHN-E	3HHN-D	lncRNA	protein
3HTX-C	3HTX-A	lncRNA	protein
2PXT-B	2PXT-A	lncRNA	protein
2I91-F	2I91-B	lncRNA	protein
2ZH7-B	2ZH7-A	lncRNA	protein
1EC6-D	1EC6-A	lncRNA	protein
1WZ2-D	1WZ2-B	lncRNA	protein
2ZZM-B	2ZZM-A	lncRNA	protein
2C51-R	2C51-C	lncRNA	protein
3G8S-R	3G8S-D	lncRNA	protein
2B3J-E	2B3J-B	lncRNA	protein
1LNG-B	1LNG-A	lncRNA	protein
3DD2-B	3DD2-H	lncRNA	protein
3DD2-B	3DD2-L	lncRNA	protein
2R8S-R	2R8S-L	lncRNA	protein
2PXQ-B	2PXQ-A	lncRNA	protein
3KIS-X	3KIS-Y	lncRNA	protein
1ZDK-S	1ZDK-B	lncRNA	protein
2XB2-R	2XB2-S	lncRNA	protein
2XB2-R	2XB2-X	lncRNA	protein
1Q2R-E	1Q2R-D	lncRNA	protein
2IZ8-S	2IZ8-C	lncRNA	protein
1RY1-E	1RY1-D	lncRNA	protein
1RY1-E	1RY1-C	lncRNA	protein
2ZH2-B	2ZH2-A	lncRNA	protein
2CT8-D	2CT8-B	lncRNA	protein
2ZH6-B	2ZH6-A	lncRNA	protein
1RY1-N	1RY1-D	lncRNA	protein
1RY1-N	1RY1-C	lncRNA	protein
2C4Q-R	2C4Q-B	lncRNA	protein
1GTF-W	1GTF-L	lncRNA	protein
2B2E-S	2B2E-C	lncRNA	protein
2R92-P	2R92-B	lncRNA	protein
2R92-P	2R92-A	lncRNA	protein
1E7K-C	1E7K-B	lncRNA	protein
1ZDK-R	1ZDK-A	lncRNA	protein
1MFQ-A	1MFQ-C	lncRNA	protein
1RY1-A	1RY1-W	lncRNA	protein
1RY1-A	1RY1-B	lncRNA	protein
1L9A-B	1L9A-A	lncRNA	protein
2J37-A	2J37-W	lncRNA	protein
2I91-D	2I91-A	lncRNA	protein
2CZJ-H	2CZJ-G	lncRNA	protein
3DEG-J	3DEG-C	lncRNA	protein
2ZH8-B	2ZH8-A	lncRNA	protein
3BO3-B	3BO3-A	lncRNA	protein
3HHZ-R	3HHZ-N	lncRNA	protein
1ZSE-R	1ZSE-A	lncRNA	protein
3DKN-E	3DKN-A	lncRNA	protein
2ZNI-C	2ZNI-A	lncRNA	protein
2BQ5-S	2BQ5-C	lncRNA	protein
3EGZ-B	3EGZ-A	lncRNA	protein
2ZKO-C	2ZKO-A	lncRNA	protein
2ZI0-D	2ZI0-B	lncRNA	protein
1OOA-C	1OOA-A	lncRNA	protein
1JBR-D	1JBR-B	lncRNA	protein
3FOZ-D	3FOZ-B	lncRNA	protein
2IZ9-S	2IZ9-C	lncRNA	protein
3CUN-C	3CUN-A	lncRNA	protein
3CUL-C	3CUL-A	lncRNA	protein
2J0Q-E	2J0Q-T	lncRNA	protein
2J0Q-E	2J0Q-A	lncRNA	protein
3KS8-E	3KS8-A	lncRNA	protein
2DR7-B	2DR7-A	lncRNA	protein
2GIC-R	2GIC-E	lncRNA	protein
2IPY-D	2IPY-A	lncRNA	protein
3ICQ-E	3ICQ-C	lncRNA	protein
3ICQ-E	3ICQ-U	lncRNA	protein
2RKJ-O	2RKJ-N	lncRNA	protein
3MOJ-A	3MOJ-B	lncRNA	protein
1HJI-A	1HJI-B	lncRNA	protein
1QRT-B	1QRT-A	lncRNA	protein
1C9S-W	1C9S-F	lncRNA	protein
2V3C-M	2V3C-D	lncRNA	protein
2V3C-M	2V3C-A	lncRNA	protein
2WH1-V	2WH1-Y	lncRNA	protein
2ZXU-C	2ZXU-A	lncRNA	protein
2ANN-B	2ANN-A	lncRNA	protein
1ZDH-S	1ZDH-B	lncRNA	protein
3HAY-E	3HAY-A	lncRNA	protein
2ZUF-B	2ZUF-A	lncRNA	protein
2IZN-S	2IZN-C	lncRNA	protein
3HJW-D	3HJW-A	lncRNA	protein
2C4Y-R	2C4Y-A	lncRNA	protein
1TTT-D	1TTT-B	lncRNA	protein
1ML5-B	1ML5-Z	lncRNA	protein
3DEG-A	3DEG-C	lncRNA	protein
1TTT-D	1TTT-A	lncRNA	protein
1SZ1-F	1SZ1-B	lncRNA	protein
1ZO1-F	1ZO1-I	lncRNA	protein
3ADC-C	3ADC-A	lncRNA	protein
2F8T-D	2F8T-A	lncRNA	protein
2IHX-B	2IHX-A	lncRNA	protein
