n121	NONHSAT122561.2
n266850	NONMMUT034365.2
n266856	NA
n266893	NONMMUT005864.2
n266910	NA
n266957	NONMMUT044085.2
n266959	NONMMUT068895.2
n266993	NONMMUT011643.2
n266997	NONMMUT071942.2
n267040	NONMMUT014743.2
n267057	NA
n267062	NONMMUT038184.2
n267072	NONMMUT012032.2
n267077	NONMMUT062858.2
n267084	NONMMUT004768.2
n267106	NONMMUT002562.2
n267107	NONMMUT019239.2
n267116	NONMMUT044983.2
n267127	NA
n267141	NA
n267180	NA
n267210	NONMMUT043273.2
n267278	NONMMUT051476.2
n267287	NA
n267289	NONMMUT054876.2
n267302	NA
n267330	NA
n267336	NONMMUT027430.2
n267357	NA
n267371	NONMMUT027815.2
n267386	NA
n267394	NONMMUT002492.2
n267405	NA
n267420	NONMMUT008928.2
n267422	NONMMUT053169.2
n267458	NONMMUT070958.2
n267478	NA
n267514	NONMMUT054308.2
n267527	NONMMUT014814.2
n267537	NONMMUT067752.2
n267543	NONMMUT059616.2
n267564	NONMMUT031903.2
n267573	NONMMUT055128.2
n267574	NA
n267585	NONMMUT061882.2
n267611	NONMMUT004641.2
n267643	NA
n267649	NONMMUT037125.2
n267662	NA
n267686	NONMMUT073172.2
n267689	NONMMUT072219.2
n267712	NONMMUT049619.2
n267727	NONMMUT062786.2
n267729	NONMMUT051818.2
n267743	NONMMUT008153.2
n267792	NONMMUT027974.2
n267800	NA
n267810	NONMMUT059648.2
n267817	NONMMUT000362.2
n267823	NONMMUT048012.2
n267824	NONMMUT011924.2
n267878	NA
n267909	NA
n267929	NONMMUT017695.2
n267941	NA
n267983	NA
n267990	NONMMUT035134.2
n267991	NONMMUT049901.2
n268040	NONMMUT028743.2
n268062	NONMMUT060873.2
n268063	NA
n268070	NONMMUT028037.2
n268098	NONMMUT021448.2
n268102	NONMMUT008846.2
n268103	NONMMUT021699.2
n268110	NONMMUT069810.2
n268154	NONMMUT046682.2
n268158	NONMMUT054772.2
n268168	NONMMUT000798.2
n268178	NONMMUT066328.2
n268206	NONMMUT006808.2
n268252	NONMMUT023763.2
n268260	NONMMUT047332.2
n268281	NONMMUT074715.2
n268286	NONMMUT061964.2
n268292	NONMMUT026096.2
n268318	NA
n268336	NONMMUT069039.2
n268344	NONMMUT068988.2
n268351	NONMMUT017650.2
n268366	NA
n268386	NONMMUT014522.2
n268393	NA
n268410	NA
n268421	NA
n268433	NONMMUT051301.2
n268434	NONMMUT008865.2
n268450	NONMMUT056691.2
n268463	NA
n268527	NONMMUT015056.2
n268548	NONMMUT006669.2
n268566	NONMMUT067453.2
n268600	NA
n268622	NONMMUT018833.2
n268627	NONMMUT069881.2
n268628	NA
n268648	NONMMUT014677.2
n268650	NONMMUT031014.2
n268670	NONMMUT054667.2
n268680	NONMMUT043893.2
n268743	NA
n268781	NA
n268784	NA
n268793	NONMMUT065381.2
n268815	NA
n268826	NA
n268836	NONMMUT030429.2
n268841	NONMMUT030854.2
n268850	NONMMUT033138.2
n268855	NONMMUT003262.2
n268866	NONMMUT000800.2
n268888	NONMMUT043060.2
n268947	NA
n268949	NA
n268950	NONMMUT001738.2
n268966	NONMMUT008328.2
n268973	NA
n268984	NONMMUT015796.2
n269034	NONMMUT022437.2
n269064	NONMMUT045929.2
n269067	NONMMUT070528.2
n269085	NONMMUT020424.2
n269111	NONMMUT074724.2
n269140	NA
n269160	NONMMUT052147.2
n269201	NONMMUT012268.2
n269250	NONMMUT007992.2
n269255	NONMMUT019052.2
n269262	NONMMUT020095.2
n269288	NA
n269290	NONMMUT014380.2
n269312	NONMMUT069867.2
n269340	NA
n269349	NONMMUT008274.2
n269358	NONMMUT019655.2
n269390	NONMMUT008747.2
n269419	NONMMUT006431.2
n269421	NONMMUT031597.2
n269425	NONMMUT066002.2
n269437	NA
n269440	NA
n269451	NONMMUT020784.2
n269457	NONMMUT007472.2
n269472	NA
n269515	NONMMUT022923.2
n269538	NA
n269555	NONMMUT023342.2
n269565	NONMMUT071901.2
n269569	NONMMUT043538.2
n269570	NONMMUT000899.2
n269581	NONMMUT001265.2
n269584	NONMMUT063543.2
n269586	NONMMUT029757.2
n269590	NONMMUT005331.2
n269610	NONMMUT018575.2
n269615	NA
n269625	NONMMUT033418.2
n269634	NONMMUT038916.2
n269636	NONMMUT017324.2
n269640	NONMMUT055906.2
n269655	NONMMUT019395.2
n269668	NA
n269723	NONMMUT057396.2
n269733	NONMMUT044588.2
n269743	NONMMUT071574.2
n269761	NONMMUT069817.2
n269762	NONMMUT063398.2
n269789	NONMMUT022957.2
n269817	NONMMUT025249.2
n269830	NA
n269869	NONMMUT020340.2
n269891	NONMMUT011343.2
n269901	NA
n269902	NA
n269922	NONMMUT012413.2
n269926	NONMMUT046816.2
n269951	NONMMUT008746.2
n269999	NA
n270061	NONMMUT039760.2
n270185	NONMMUT049187.2
n270209	NONMMUT025696.2
n270237	NONMMUT025941.2
n270333	NONMMUT039063.2
n270436	NA
n270457	NONMMUT057660.2
n270485	NONMMUT071863.2
n270487	NONMMUT014953.2
n270505	NONMMUT073548.2
n270539	NONMMUT043221.2
n270550	NONMMUT030668.2
n270567	NONMMUT056729.2
n270573	NONMMUT062823.2
n270596	NA
n270598	NONMMUT048791.2
n270601	NONMMUT037123.2
n270616	NA
n270627	NONMMUT054864.2
n270637	NONMMUT043921.2
n270643	NONMMUT065573.2
n270653	NA
n270688	NONMMUT033538.2
n270690	NONMMUT045090.2
n270696	NONMMUT018986.2
n270697	NONMMUT023361.2
n270712	NONMMUT061881.2
n270732	NONMMUT021683.2
n270755	NA
n270765	NONMMUT005728.2
n270795	NONMMUT037712.2
n270820	NONMMUT045424.2
n270826	NONMMUT025357.2
n270830	NA
n270858	NONMMUT063751.2
n270887	NA
n270905	NONMMUT026921.2
n270913	NONMMUT030855.2
n270914	NA
n270945	NONMMUT048369.2
n270960	NONMMUT044981.2
n270965	NA
n270970	NONMMUT063293.2
n270979	NONMMUT066824.2
n270988	NONMMUT006169.2
n271011	NA
n271049	NONMMUT037756.2
n271076	NONMMUT002092.2
n271077	NONMMUT057841.2
n271081	NA
n271091	NA
n271131	NONMMUT025754.2
n271140	NONMMUT015151.2
n271162	NONMMUT023308.2
n271192	NONMMUT031930.2
n271254	NONMMUT065568.2
n271260	NA
n271269	NONMMUT027216.2
n271270	NONMMUT000671.2
n271273	NONMMUT047279.2
n271277	NA
n271283	NONMMUT057496.2
n271302	NONMMUT022964.2
n271316	NONMMUT032101.2
n271347	NONMMUT016414.2
n271352	NONMMUT034917.2
n271364	NONMMUT046332.2
n271375	NONMMUT056318.2
n271388	NONMMUT003705.2
n271402	NONMMUT074497.2
n271408	NONMMUT057492.2
n271449	NONMMUT045300.2
n271454	NONMMUT054740.2
n271459	NONMMUT029039.2
n271462	NA
n271471	NONMMUT043274.2
n271477	NONMMUT003704.2
n271481	NONMMUT074507.2
n271489	NA
n271495	NONMMUT035235.2
n271498	NA
n271506	NONMMUT043450.2
n271540	NA
n271568	NONMMUT056256.2
n271569	NA
n271601	NONMMUT042369.2
n271624	NONMMUT009193.2
n271637	NONMMUT022372.2
n271643	NONMMUT034315.2
n271644	NONMMUT045893.2
n271659	NONMMUT022945.2
n271671	NONMMUT008715.2
n271681	NONMMUT017844.2
n271683	NONMMUT023456.2
n271684	NONMMUT018488.2
n271730	NONMMUT015470.2
n271742	NONMMUT061867.2
n271748	NONMMUT052275.2
n271769	NONMMUT011563.2
n271776	NONMMUT056014.2
n271812	NA
n271815	NONMMUT017798.2
n271826	NONMMUT010613.2
n271828	NONMMUT057491.2
n271843	NONMMUT048156.2
n271858	NONMMUT037935.2
n271859	NONMMUT030630.2
n271869	NONMMUT023885.2
n271880	NONMMUT018651.2
n271881	NA
n271888	NONMMUT047775.2
n271907	NA
n271916	NONMMUT039120.2
n271918	NONMMUT010805.2
n271929	NONMMUT004072.2
n271944	NONMMUT048085.2
n271949	NA
n271961	NONMMUT031986.2
n271968	NONMMUT024298.2
n271973	NONMMUT034025.2
n272000	NONMMUT027497.2
n272004	NONMMUT031004.2
n272014	NONMMUT007562.2
n272021	NONMMUT025116.2
n272030	NONMMUT026803.2
n272072	NONMMUT005543.2
n272083	NONMMUT012800.2
n272087	NONMMUT050893.2
n272095	NONMMUT038546.2
n272098	NONMMUT001927.2
n272107	NA
n272113	NONMMUT049418.2
n272119	NONMMUT062320.2
n272120	NONMMUT010769.2
n272135	NONMMUT023283.2
n272159	NONMMUT041854.2
n272168	NONMMUT026279.2
n272173	NA
n272174	NONMMUT022530.2
n272178	NONMMUT055529.2
n272183	NONMMUT035232.2
n272206	NA
n272208	NONMMUT014683.2
n272216	NA
n272243	NA
n272244	NONMMUT019699.2
n272261	NONMMUT060535.2
n272268	NONMMUT037884.2
n272286	NA
n272287	NONMMUT056551.2
n272379	NONMMUT051307.2
n272385	NONMMUT046191.2
n272386	NONMMUT052629.2
n272392	NONMMUT065577.2
n272424	NONMMUT023591.2
n272428	NONMMUT046576.2
n272431	NONMMUT059233.2
n272441	NA
n272444	NA
n272445	NONMMUT024718.2
n272502	NONMMUT033217.2
n272525	NA
n272533	NA
n272535	NONMMUT002890.2
n272546	NONMMUT033789.2
n272569	NONMMUT046832.2
n272576	NONMMUT070825.2
n272581	NONMMUT054437.2
n272587	NONMMUT010444.2
n272632	NONMMUT057662.2
n272656	NONMMUT032673.2
n272668	NONMMUT017212.2
n272675	NONMMUT016431.2
n272679	NONMMUT038887.2
n272692	NONMMUT044227.2
n272708	NONMMUT071881.2
n272767	NONMMUT013279.2
n272768	NONMMUT010670.2
n272804	NA
n272806	NONMMUT026801.2
n272822	NA
n272838	NONMMUT003417.2
n272841	NONMMUT003683.2
n272878	NONMMUT065705.2
n272887	NONMMUT030192.2
n272913	NONMMUT042165.2
n272926	NONMMUT021977.2
n272927	NONMMUT046109.2
n272937	NA
n272943	NA
n272989	NONMMUT019009.2
n272997	NONMMUT018608.2
n272999	NONMMUT041632.2
n273012	NONMMUT029991.2
n273033	NONMMUT053599.2
n273069	NONMMUT044591.2
n273081	NONMMUT001147.2
n273133	NA
n273140	NONMMUT030920.2
n273269	NONMMUT055918.2
n273296	NONMMUT000456.2
n273329	NONMMUT043576.2
n273416	NA
n273429	NA
n273432	NA
n273443	NONMMUT052575.2
n273506	NONMMUT049261.2
n273508	NA
n273513	NONMMUT019413.2
n273529	NONMMUT064747.2
n273547	NONMMUT020421.2
n273558	NONMMUT065398.2
n273613	NONMMUT043064.2
n273619	NA
n273625	NA
n273643	NONMMUT032902.2
n273652	NONMMUT051270.2
n273673	NONMMUT051942.2
n273691	NONMMUT028786.2
n273694	NONMMUT073302.2
n273699	NONMMUT072333.2
n273702	NA
n273704	NONMMUT028316.2
n273709	NONMMUT035374.2
n273711	NONMMUT040633.2
n273720	NONMMUT034096.2
n273731	NONMMUT010837.2
n273737	NONMMUT038915.2
n273739	NONMMUT018854.2
n273783	NONMMUT011831.2
n273794	NONMMUT011582.2
n273834	NONMMUT011020.2
n273836	NONMMUT074065.2
n273857	NONMMUT018658.2
n273923	NONMMUT052932.2
n273938	NONMMUT052162.2
n273946	NONMMUT001683.2
n273947	NA
n273955	NA
n274008	NONMMUT037783.2
n274025	NONMMUT026867.2
n274037	NONMMUT019238.2
n274038	NONMMUT053742.2
n274040	NONMMUT036146.2
n274061	NONMMUT023314.2
n274076	NONMMUT068441.2
n274080	NONMMUT032931.2
n274101	NONMMUT047639.2
n274126	NONMMUT026312.2
n274129	NA
n274171	NONMMUT031430.2
n274205	NONMMUT031359.2
n274221	NONMMUT000406.2
n274238	NONMMUT005932.2
n274266	NONMMUT056003.2
n274274	NONMMUT051303.2
n274289	NA
n274293	NONMMUT063269.2
n274308	NONMMUT073338.2
n274314	NONMMUT002423.2
n274365	NONMMUT041905.2
n274370	NONMMUT014198.2
n274378	NONMMUT032452.2
n274395	NA
n274408	NONMMUT069790.2
n274431	NONMMUT005537.2
n274453	NONMMUT011535.2
n274468	NONMMUT003407.2
n274495	NONMMUT015254.2
n274521	NONMMUT035526.2
n274579	NONMMUT055909.2
n274583	NONMMUT074348.2
n274584	NONMMUT014396.2
n274612	NA
n274625	NONMMUT052208.2
n274628	NA
n274638	NONMMUT070390.2
n274647	NONMMUT065570.2
n274658	NONMMUT020062.2
n274661	NONMMUT058256.2
n274688	NONMMUT062146.2
n274689	NONMMUT031317.2
n274690	NONMMUT000138.2
n274700	NA
n274710	NONMMUT012830.2
n274719	NONMMUT032399.2
n274723	NONMMUT008322.2
n274741	NONMMUT053600.2
n274772	NONMMUT039115.2
n274788	NONMMUT042295.2
n274817	NONMMUT056680.2
n274837	NA
n274841	NONMMUT004648.2
n274875	NONMMUT008071.2
n274878	NONMMUT007328.2
n274880	NA
n274891	NONMMUT000764.2
n274917	NONMMUT050979.2
n274929	NONMMUT023472.2
n274932	NONMMUT048960.2
n274943	NONMMUT069788.2
n274947	NONMMUT010615.2
n274956	NA
n274997	NONMMUT068542.2
n274998	NONMMUT002563.2
n275006	NONMMUT068549.2
n275018	NONMMUT054709.2
n275029	NONMMUT023491.2
n275043	NONMMUT020786.2
n275050	NONMMUT001662.2
n275061	NONMMUT022689.2
n275062	NONMMUT009311.2
n275066	NONMMUT000396.2
n275068	NONMMUT016425.2
n275076	NONMMUT035416.2
n275106	NA
n275113	NA
n275140	NONMMUT029108.2
n275144	NONMMUT022061.2
n275153	NONMMUT031030.2
n275154	NONMMUT034083.2
n275156	NONMMUT045529.2
n275163	NONMMUT026925.2
n275171	NONMMUT032546.2
n275218	NONMMUT027152.2
n275239	NONMMUT010259.2
n275254	NONMMUT045185.2
n275266	NONMMUT058179.2
n275272	NONMMUT054721.2
n275290	NONMMUT019386.2
n275293	NA
n275296	NONMMUT042335.2
n275316	NONMMUT032528.2
n275328	NONMMUT067910.2
n275335	NONMMUT066903.2
n275336	NONMMUT030666.2
n275357	NONMMUT026417.2
n275361	NONMMUT046805.2
n275407	NONMMUT053620.2
n275425	NA
n275447	NONMMUT052761.2
n275449	NONMMUT022565.2
n275454	NONMMUT010779.2
n275463	NA
n275479	NONMMUT011344.2
n275503	NONMMUT014744.2
n275527	NONMMUT030333.2
n275534	NONMMUT010144.2
n275550	NONMMUT027590.2
n275559	NONMMUT014818.2
n275609	NA
n275622	NONMMUT036248.2
n275643	NONMMUT058599.2
n275648	NONMMUT031470.2
n275661	NA
n275690	NONMMUT065574.2
n275695	NONMMUT019913.2
n275701	NONMMUT031001.2
n275706	NONMMUT052912.2
n275711	NONMMUT028983.2
n275712	NA
n275713	NA
n275729	NONMMUT050999.2
n275755	NONMMUT010233.2
n275760	NONMMUT045897.2
n275777	NA
n275785	NONMMUT057484.2
n275811	NONMMUT033698.2
n275833	NA
n275837	NONMMUT013022.2
n275845	NONMMUT026567.2
n275858	NONMMUT008559.2
n275861	NONMMUT023856.2
n275907	NONMMUT046619.2
n275917	NONMMUT037172.2
n275947	NONMMUT004524.2
n276009	NONMMUT056341.2
n276034	NA
n276037	NONMMUT033801.2
n276041	NONMMUT006671.2
n276044	NA
n276061	NONMMUT057406.2
n276093	NONMMUT052632.2
n276105	NA
n276118	NONMMUT031831.2
n276123	NA
n276124	NONMMUT067238.2
n276126	NA
n276157	NA
n276179	NONMMUT068456.2
n276198	NONMMUT005931.2
n276216	NONMMUT014428.2
n276224	NONMMUT070520.2
n276235	NONMMUT039453.2
n276251	NONMMUT037166.2
n276254	NONMMUT004387.2
n276259	NONMMUT014025.2
n276263	NONMMUT023601.2
n276268	NA
n276276	NONMMUT023385.2
n276280	NONMMUT029040.2
n276297	NONMMUT023337.2
n276298	NONMMUT018656.2
n276317	NONMMUT024839.2
n276318	NONMMUT000397.2
n276326	NONMMUT032705.2
n276378	NONMMUT031135.2
n276380	NONMMUT015176.2
n276396	NONMMUT031022.2
n276401	NONMMUT056486.2
n276405	NONMMUT064013.2
n276429	NONMMUT005924.2
n276455	NA
n276457	NONMMUT061942.2
n276461	NA
n276505	NONMMUT045159.2
n276517	NONMMUT035482.2
n276537	NONMMUT009598.2
n276562	NONMMUT030271.2
n276573	NONMMUT054184.2
n276574	NONMMUT071118.2
n276579	NONMMUT017352.2
n276591	NONMMUT070772.2
n276607	NONMMUT055917.2
n276608	NONMMUT028095.2
n276635	NONMMUT026674.2
n276658	NONMMUT071223.2
n276675	NA
n276679	NONMMUT006097.2
n276728	NONMMUT015180.2
n276746	NA
n276748	NONMMUT035519.2
n276780	NONMMUT066088.2
n276846	NA
n276901	NONMMUT026868.2
n276926	NONMMUT022058.2
n276931	NA
n276952	NA
n276983	NA
n276997	NONMMUT006170.2
n277016	NONMMUT025342.2
n277027	NONMMUT038867.2
n277121	NONMMUT056561.2
n277156	NONMMUT060373.2
n277157	NONMMUT022958.2
n277159	NA
n277169	NONMMUT048374.2
n277173	NA
n277177	NONMMUT028185.2
n277212	NONMMUT023772.2
n277224	NONMMUT035510.2
n277243	NA
n277312	NONMMUT002748.2
n277322	NONMMUT038748.2
n277358	NONMMUT046711.2
n277365	NONMMUT038269.2
n277368	NONMMUT036006.2
n277396	NONMMUT014761.2
n277426	NONMMUT034437.2
n277430	NONMMUT023812.2
n277453	NONMMUT018997.2
n277485	NA
n277492	NA
n277522	NONMMUT032573.2
n277524	NONMMUT004770.2
n277539	NONMMUT037751.2
n277542	NONMMUT025280.2
n277549	NONMMUT000085.2
n277550	NA
n277572	NONMMUT024626.2
n277611	NONMMUT038746.2
n277620	NONMMUT069799.2
n277631	NONMMUT020236.2
n277655	NA
n277660	NA
n277685	NA
n277705	NONMMUT017498.2
n277711	NONMMUT064547.2
n277729	NONMMUT051642.2
n277774	NONMMUT004703.2
n277779	NONMMUT045492.2
n277787	NONMMUT037407.2
n277810	NONMMUT000393.2
n277818	NONMMUT034197.2
n277840	NONMMUT039451.2
n277850	NONMMUT058075.2
n277851	NONMMUT044592.2
n277861	NONMMUT013218.2
n277881	NONMMUT069031.2
n277887	NONMMUT045528.2
n277903	NONMMUT043441.2
n277912	NONMMUT031957.2
n277916	NONMMUT067813.2
n277918	NA
n277921	NONMMUT021212.2
n277926	NONMMUT067289.2
n277929	NONMMUT025236.2
n277942	NONMMUT069818.2
n278028	NONMMUT003927.2
n278037	NONMMUT064010.2
n278042	NONMMUT023593.2
n278063	NONMMUT045089.2
n278065	NA
n278068	NONMMUT025744.2
n278071	NONMMUT056141.2
n278076	NONMMUT015469.2
n278085	NA
n278087	NONMMUT069924.2
n278101	NA
n278120	NONMMUT028368.2
n278123	NA
n278159	NA
n278358	NONMMUT029129.2
n278412	NONMMUT024478.2
n278448	NONMMUT059818.2
n278464	NA
n278473	NONMMUT033685.2
n278520	NONMMUT036951.2
n278587	NONMMUT039762.2
n278604	NONMMUT025712.2
n278614	NA
n278628	NONMMUT009049.2
n278680	NONMMUT040607.2
n278688	NONMMUT026772.2
n278699	NONMMUT039831.2
n278706	NONMMUT012862.2
n278725	NONMMUT043020.2
n278731	NONMMUT028313.2
n278780	NA
n278793	NONMMUT033752.2
n278812	NONMMUT009866.2
n278837	NA
n278848	NONMMUT041150.2
n278863	NONMMUT044939.2
n278891	NA
n278906	NA
n278912	NONMMUT002413.2
n278920	NONMMUT015920.2
n278928	NONMMUT025635.2
n279015	NONMMUT020173.2
n279019	NA
n279025	NONMMUT016268.2
n279029	NONMMUT021263.2
n279047	NONMMUT023755.2
n279049	NA
n279074	NONMMUT052969.2
n279083	NONMMUT030397.2
n279093	NA
n279115	NONMMUT066159.2
n279124	NONMMUT035543.2
n279152	NONMMUT024676.2
n279156	NONMMUT043412.2
n279175	NONMMUT056679.2
n279181	NONMMUT055908.2
n279185	NONMMUT046492.2
n279201	NONMMUT054865.2
n279227	NONMMUT043013.2
n279237	NONMMUT034682.2
n279254	NONMMUT066971.2
n279264	NONMMUT023643.2
n279266	NONMMUT023770.2
n279269	NONMMUT073943.2
n279270	NONMMUT035536.2
n279279	NA
n279289	NONMMUT043511.2
n279309	NONMMUT023590.2
n279332	NA
n279354	NONMMUT066992.2
n279419	NONMMUT066904.2
n279432	NONMMUT053390.2
n279458	NONMMUT042346.2
n279472	NONMMUT068442.2
n279479	NONMMUT060261.2
n279493	NONMMUT025101.2
n279502	NA
n279523	NONMMUT035901.2
n279524	NA
n279526	NONMMUT074404.2
n279528	NONMMUT051371.2
n279571	NONMMUT045535.2
n279593	NONMMUT024521.2
n279626	NONMMUT055125.2
n279645	NONMMUT052506.2
n279697	NONMMUT016686.2
n279786	NONMMUT069680.2
n279830	NONMMUT014430.2
n279850	NA
n279882	NONMMUT052365.2
n279903	NONMMUT045533.2
n279913	NONMMUT037289.2
n279945	NONMMUT005193.2
n279979	NONMMUT068455.2
n279982	NONMMUT043391.2
n280020	NONMMUT032157.2
n280030	NONMMUT000334.2
n280064	NONMMUT004801.2
n280089	NONMMUT055168.2
n280121	NONMMUT045161.2
n280135	NONMMUT041349.2
n280168	NONMMUT036943.2
n280197	NONMMUT005987.2
n280200	NA
n280205	NONMMUT038387.2
n280233	NA
n280234	NONMMUT023065.2
n280247	NONMMUT055714.2
n280313	NONMMUT030921.2
n280328	NA
n280334	NONMMUT014151.2
n280343	NONMMUT011598.2
n280347	NONMMUT011267.2
n280375	NONMMUT013158.2
n280380	NONMMUT036615.2
n280411	NONMMUT002456.2
n280430	NONMMUT027746.2
n280443	NA
n280450	NA
n280457	NONMMUT028977.2
n280462	NONMMUT070389.2
n280495	NONMMUT036824.2
n280497	NA
n280504	NA
n280521	NONMMUT035518.2
n280540	NA
n280553	NA
n280602	NONMMUT027960.2
n280633	NONMMUT054289.2
n280690	NONMMUT019908.2
n280746	NA
n280759	NONMMUT065714.2
n280766	NONMMUT033897.2
n280773	NONMMUT050139.2
n280774	NA
n280776	NA
n280793	NONMMUT040739.2
n280870	NONMMUT053524.2
n280887	NONMMUT038526.2
n280901	NONMMUT037446.2
n280950	NONMMUT004012.2
n280961	NONMMUT062667.2
n280970	NONMMUT040656.2
n281010	NA
n281026	NONMMUT047071.2
n281084	NONMMUT021049.2
n281140	NA
n281187	NONMMUT044606.2
n281198	NONMMUT015041.2
n281201	NA
n281394	NONMMUT002495.2
n281397	NONMMUT029497.2
n281423	NA
n281449	NONMMUT064622.2
n281489	NONMMUT051227.2
n281502	NA
n281514	NONMMUT035978.2
n281515	NONMMUT004621.2
n281516	NONMMUT010689.2
n281527	NONMMUT058318.2
n281534	NONMMUT022457.2
n281535	NA
n281550	NONMMUT009050.2
n281580	NONMMUT051330.2
n281595	NONMMUT042416.2
n281603	NONMMUT016653.2
n281613	NONMMUT024662.2
n281697	NONMMUT003991.2
n281709	NONMMUT061396.2
n281755	NA
n281766	NONMMUT070922.2
n281768	NONMMUT005631.2
n281805	NONMMUT025542.2
n281819	NA
n281828	NA
n281831	NONMMUT035229.2
n281832	NONMMUT035147.2
n281866	NONMMUT016905.2
n281896	NONMMUT064501.2
n281922	NONMMUT038402.2
n281926	NONMMUT008739.2
n282008	NONMMUT049389.2
n282011	NONMMUT027749.2
n282034	NONMMUT031432.2
n282049	NONMMUT050133.2
n282053	NONMMUT020261.2
n282073	NONMMUT052504.2
n282086	NONMMUT069922.2
n282098	NONMMUT030246.2
n282141	NONMMUT032283.2
n282151	NA
n282163	NONMMUT030009.2
n282232	NA
n282285	NONMMUT032336.2
n282369	NA
n282381	NONMMUT027586.2
n282388	NONMMUT035585.2
n282401	NONMMUT009851.2
n282423	NONMMUT052355.2
n282429	NONMMUT008844.2
n282435	NONMMUT038523.2
n282446	NONMMUT020581.2
n282494	NONMMUT044030.2
n282523	NONMMUT008714.2
n282549	NONMMUT055735.2
n282616	NONMMUT054594.2
n282626	NA
n282629	NONMMUT063187.2
n282695	NONMMUT049421.2
n282743	NONMMUT017955.2
n282781	NONMMUT010129.2
n282788	NONMMUT028422.2
n282809	NONMMUT048633.2
n282833	NA
n282871	NONMMUT033152.2
n282872	NA
