source_node	target_node	Source Node Attribute	Target Node Attribute
MALAT1	Q13247	lncRNA	protein
MALAT1	Q08170	lncRNA	protein
MALAT1	P84103	lncRNA	protein
MALAT1	Q01130	lncRNA	protein
MALAT1	Q05519	lncRNA	protein
MALAT1	Q07955	lncRNA	protein
MALAT1	Q14790	lncRNA	protein
MALAT1	P42574	lncRNA	protein
MALAT1	P10415	lncRNA	protein
MALAT1	Q07812	lncRNA	protein
HIF1A-AS2	Q16665	lncRNA	protein
AIRN	Q96KQ7	lncRNA	protein
PINK1-AS	Q9BXM7	lncRNA	protein
UCA1	P16220	lncRNA	protein
UCA1	P31749	lncRNA	protein
PCA3	Q92597	lncRNA	protein
PCA3	P07288	lncRNA	protein
PCA3	P55075	lncRNA	protein
PCA3	P06493	lncRNA	protein
XIST	P38398	lncRNA	protein
GAS5	P42345	lncRNA	protein
PANDAR	P23511	lncRNA	protein
H19	O76093	lncRNA	protein
H19	P03950	lncRNA	protein
MIR17HG	P01106	lncRNA	protein
MEG3	Q00987	lncRNA	protein
MEG3	Q99988	lncRNA	protein
MEG3	Q8TEY5	lncRNA	protein
MALAT1	O94906	lncRNA	protein
TERC	P12004	lncRNA	protein
HOTAIR	O75530	lncRNA	protein
HOTAIR	P28358	lncRNA	protein
H19	P01106	lncRNA	protein
H19	Q01094	lncRNA	protein
SOX2-OT	P48431	lncRNA	protein
TERC	P05121	lncRNA	protein
TERC	Q9H307	lncRNA	protein
TERC	P19838	lncRNA	protein
TERC	P01106	lncRNA	protein
TERC	Q13330	lncRNA	protein
TERC	P05412	lncRNA	protein
TERC	Q9UM22	lncRNA	protein
TERC	Q01094	lncRNA	protein
TERC	P16070	lncRNA	protein
TERC	O15392	lncRNA	protein
TERC	P10415	lncRNA	protein
TERC	Q07812	lncRNA	protein
TERC	Q13315	lncRNA	protein
A1BG-AS1	Q9C0J8	lncRNA	protein
A2M-AS1	Q9C0J8	lncRNA	protein
A2ML1-AS1	Q9C0J8	lncRNA	protein
ABCA9-AS1	Q9C0J8	lncRNA	protein
ABCC5-AS1	P55265	lncRNA	protein
ABCC5-AS1	Q9C0J8	lncRNA	protein
AC000099.1	Q9C0J8	lncRNA	protein
AC000124.1	Q9C0J8	lncRNA	protein
AC002401.1	Q9C0J8	lncRNA	protein
AC002454.1	Q9C0J8	lncRNA	protein
AC002480.2	Q9C0J8	lncRNA	protein
AC002511.1	Q9C0J8	lncRNA	protein
AC003005.2	Q9C0J8	lncRNA	protein
AC003009.1	Q9C0J8	lncRNA	protein
AC003092.1	Q9C0J8	lncRNA	protein
AC003092.2	Q9C0J8	lncRNA	protein
AC003682.1	Q93062	lncRNA	protein
AC003682.1	Q14103	lncRNA	protein
AC003958.2	Q9C0J8	lncRNA	protein
AC003984.1	Q9C0J8	lncRNA	protein
AC003988.1	Q9C0J8	lncRNA	protein
AC004009.3	Q9C0J8	lncRNA	protein
AC004053.1	Q9C0J8	lncRNA	protein
AC004053.1	P38432	lncRNA	protein
AC004054.1	Q9C0J8	lncRNA	protein
AC004063.1	Q9C0J8	lncRNA	protein
AC004148.1	Q14103	lncRNA	protein
AC004448.2	Q9C0J8	lncRNA	protein
AC004832.1	Q9C0J8	lncRNA	protein
AC004837.3	Q9C0J8	lncRNA	protein
AC004870.3	Q9C0J8	lncRNA	protein
AC004870.4	Q9C0J8	lncRNA	protein
AC004947.2	Q9C0J8	lncRNA	protein
AC004988.1	Q9C0J8	lncRNA	protein
AC005009.2	Q9C0J8	lncRNA	protein
AC005034.3	Q9C0J8	lncRNA	protein
AC005042.2	Q9C0J8	lncRNA	protein
AC005150.1	Q9C0J8	lncRNA	protein
AC005224.2	Q9C0J8	lncRNA	protein
AC005224.2	Q8TB72	lncRNA	protein
AC005281.1	Q9C0J8	lncRNA	protein
AC005304.1	Q9C0J8	lncRNA	protein
AC005307.1	Q9C0J8	lncRNA	protein
AC005355.1	Q9C0J8	lncRNA	protein
AC005394.1	Q93062	lncRNA	protein
AC005498.3	Q9C0J8	lncRNA	protein
AC005592.1	Q9C0J8	lncRNA	protein
AC005616.1	Q9C0J8	lncRNA	protein
AC005618.1	Q9C0J8	lncRNA	protein
AC005625.1	Q9C0J8	lncRNA	protein
AC005703.2	Q9C0J8	lncRNA	protein
AC005779.1	Q9C0J8	lncRNA	protein
AC005831.1	Q9C0J8	lncRNA	protein
AC005863.1	Q9C0J8	lncRNA	protein
AC005884.1	P55265	lncRNA	protein
AC005884.1	Q9C0J8	lncRNA	protein
AC006007.1	Q9C0J8	lncRNA	protein
AC006076.1	Q9C0J8	lncRNA	protein
AC006115.3	Q9C0J8	lncRNA	protein
AC006296.1	Q9C0J8	lncRNA	protein
AC006369.2	Q9C0J8	lncRNA	protein
AC006372.4	Q9C0J8	lncRNA	protein
AC006378.2	Q9C0J8	lncRNA	protein
AC006460.2	Q9C0J8	lncRNA	protein
AC006504.1	Q93062	lncRNA	protein
AC006504.2	Q93062	lncRNA	protein
AC006538.1	Q9C0J8	lncRNA	protein
AC006947.1	Q9C0J8	lncRNA	protein
AC006994.2	Q9C0J8	lncRNA	protein
AC007003.1	Q9C0J8	lncRNA	protein
AC007091.1	Q9C0J8	lncRNA	protein
AC007092.1	Q9C0J8	lncRNA	protein
AC007098.1	Q9C0J8	lncRNA	protein
AC007099.2	Q9C0J8	lncRNA	protein
AC007106.1	Q9C0J8	lncRNA	protein
AC007126.1	Q9UKA9	lncRNA	protein
AC007128.1	Q9C0J8	lncRNA	protein
AC007292.1	Q9C0J8	lncRNA	protein
AC007292.3	Q9C0J8	lncRNA	protein
AC007317.1	Q9C0J8	lncRNA	protein
AC007319.1	Q9C0J8	lncRNA	protein
AC007319.1	Q96PU8	lncRNA	protein
AC007347.1	Q9C0J8	lncRNA	protein
AC007362.1	P55265	lncRNA	protein
AC007362.1	Q9C0J8	lncRNA	protein
AC007364.1	Q9C0J8	lncRNA	protein
AC007365.1	Q9C0J8	lncRNA	protein
AC007383.3	Q9C0J8	lncRNA	protein
AC007389.1	Q9C0J8	lncRNA	protein
AC007389.3	Q9C0J8	lncRNA	protein
AC007391.2	Q9C0J8	lncRNA	protein
AC007403.1	Q9C0J8	lncRNA	protein
AC007422.1	Q9C0J8	lncRNA	protein
AC007620.3	Q9C0J8	lncRNA	protein
AC007652.1	Q9C0J8	lncRNA	protein
AC007743.1	Q9C0J8	lncRNA	protein
AC007795.1	Q9C0J8	lncRNA	protein
AC007879.1	Q9C0J8	lncRNA	protein
AC007879.2	Q9C0J8	lncRNA	protein
AC007948.1	Q9C0J8	lncRNA	protein
AC007950.1	Q9C0J8	lncRNA	protein
AC007966.1	Q9C0J8	lncRNA	protein
AC008268.1	Q9C0J8	lncRNA	protein
AC008269.2	Q9C0J8	lncRNA	protein
AC008277.1	Q9C0J8	lncRNA	protein
AC008278.2	Q9C0J8	lncRNA	protein
AC008280.3	Q9C0J8	lncRNA	protein
AC008592.4	Q9C0J8	lncRNA	protein
AC008592.5	Q9C0J8	lncRNA	protein
AC008691.1	Q9C0J8	lncRNA	protein
AC008703.1	Q9C0J8	lncRNA	protein
AC008937.2	Q9C0J8	lncRNA	protein
AC008937.3	Q9C0J8	lncRNA	protein
AC008982.2	Q9C0J8	lncRNA	protein
AC008992.1	Q9C0J8	lncRNA	protein
AC009110.1	Q9C0J8	lncRNA	protein
AC009113.1	Q14103	lncRNA	protein
AC009120.3	Q9C0J8	lncRNA	protein
AC009120.4	Q6ZN17	lncRNA	protein
AC009120.4	Q9C0J8	lncRNA	protein
AC009120.6	Q9C0J8	lncRNA	protein
AC009134.1	Q9C0J8	lncRNA	protein
AC009158.1	Q9C0J8	lncRNA	protein
AC009228.1	Q9C0J8	lncRNA	protein
AC009234.1	P14866	lncRNA	protein
AC009264.1	P55265	lncRNA	protein
AC009264.1	Q9C0J8	lncRNA	protein
AC009299.3	Q9C0J8	lncRNA	protein
AC009299.3	Q96PU8	lncRNA	protein
AC009303.3	P14866	lncRNA	protein
AC009303.3	Q9C0J8	lncRNA	protein
AC009312.1	Q9C0J8	lncRNA	protein
AC009313.1	Q9C0J8	lncRNA	protein
AC009403.2	Q9C0J8	lncRNA	protein
AC009411.2	Q9C0J8	lncRNA	protein
AC009478.1	Q9C0J8	lncRNA	protein
AC009495.2	Q9C0J8	lncRNA	protein
AC009495.3	Q9C0J8	lncRNA	protein
AC009498.1	Q9C0J8	lncRNA	protein
AC009506.1	Q9C0J8	lncRNA	protein
AC009948.3	Q93062	lncRNA	protein
AC009948.5	Q9C0J8	lncRNA	protein
AC009948.5	Q93062	lncRNA	protein
AC009965.1	Q9C0J8	lncRNA	protein
AC009970.1	Q9C0J8	lncRNA	protein
AC010096.1	Q9C0J8	lncRNA	protein
AC010105.1	Q9C0J8	lncRNA	protein
AC010148.1	Q9C0J8	lncRNA	protein
AC010335.1	Q9C0J8	lncRNA	protein
AC010609.1	P38432	lncRNA	protein
AC010642.2	Q9C0J8	lncRNA	protein
AC010729.1	P14866	lncRNA	protein
AC010729.1	Q9C0J8	lncRNA	protein
AC010731.3	Q9C0J8	lncRNA	protein
AC010745.2	Q9C0J8	lncRNA	protein
AC010761.6	Q9C0J8	lncRNA	protein
AC010880.1	Q9C0J8	lncRNA	protein
AC010884.1	Q9C0J8	lncRNA	protein
AC010890.1	Q9C0J8	lncRNA	protein
AC010894.3	Q9C0J8	lncRNA	protein
AC010894.5	Q9C0J8	lncRNA	protein
AC010967.2	Q9C0J8	lncRNA	protein
AC010969.1	Q9C0J8	lncRNA	protein
AC010976.2	Q9C0J8	lncRNA	protein
AC010980.2	Q9C0J8	lncRNA	protein
AC010982.1	Q9C0J8	lncRNA	protein
AC010983.1	Q9C0J8	lncRNA	protein
AC011243.1	Q9C0J8	lncRNA	protein
AC011306.1	Q9C0J8	lncRNA	protein
AC011450.1	Q14103	lncRNA	protein
AC011497.1	Q14103	lncRNA	protein
AC011498.1	Q9C0J8	lncRNA	protein
AC011518.1	Q9C0J8	lncRNA	protein
AC011524.1	Q9C0J8	lncRNA	protein
AC011525.2	Q9C0J8	lncRNA	protein
AC011752.1	Q9C0J8	lncRNA	protein
AC011754.1	Q9C0J8	lncRNA	protein
AC011995.1	Q9C0J8	lncRNA	protein
AC012317.1	Q9C0J8	lncRNA	protein
AC012322.1	Q9C0J8	lncRNA	protein
AC012368.1	Q9C0J8	lncRNA	protein
AC012370.2	P14866	lncRNA	protein
AC012370.2	P55265	lncRNA	protein
AC012370.2	Q9C0J8	lncRNA	protein
AC012445.1	Q9C0J8	lncRNA	protein
AC012462.3	Q9C0J8	lncRNA	protein
AC012494.1	Q9C0J8	lncRNA	protein
AC012499.1	Q9C0J8	lncRNA	protein
AC012506.2	Q9C0J8	lncRNA	protein
AC012506.3	Q9C0J8	lncRNA	protein
AC012506.4	Q9C0J8	lncRNA	protein
AC012593.1	Q9C0J8	lncRNA	protein
AC012593.1	P38432	lncRNA	protein
AC012594.1	Q9C0J8	lncRNA	protein
AC012668.1	Q9C0J8	lncRNA	protein
AC012668.2	Q9C0J8	lncRNA	protein
AC013268.5	Q96PU8	lncRNA	protein
AC013402.2	P55265	lncRNA	protein
AC013402.2	Q9C0J8	lncRNA	protein
AC013402.3	Q9C0J8	lncRNA	protein
AC013472.3	Q9C0J8	lncRNA	protein
AC013727.1	Q9C0J8	lncRNA	protein
AC015849.2	Q9C0J8	lncRNA	protein
AC015987.1	Q9C0J8	lncRNA	protein
AC016205.1	Q93062	lncRNA	protein
AC016644.1	Q9C0J8	lncRNA	protein
AC016700.3	Q9C0J8	lncRNA	protein
AC016710.1	Q9C0J8	lncRNA	protein
AC016722.2	P55265	lncRNA	protein
AC016722.2	Q9C0J8	lncRNA	protein
AC016730.1	Q9C0J8	lncRNA	protein
AC016735.1	Q9C0J8	lncRNA	protein
AC016747.3	Q9C0J8	lncRNA	protein
AC016747.3	Q96PU8	lncRNA	protein
AC016757.1	Q93062	lncRNA	protein
AC016773.1	P14866	lncRNA	protein
AC016773.1	Q9C0J8	lncRNA	protein
AC016903.2	Q9C0J8	lncRNA	protein
AC016910.1	Q9C0J8	lncRNA	protein
AC017002.1	Q9C0J8	lncRNA	protein
AC017002.2	Q9C0J8	lncRNA	protein
AC017048.2	Q9C0J8	lncRNA	protein
AC017048.3	P55265	lncRNA	protein
AC017048.3	Q9C0J8	lncRNA	protein
AC017053.1	Q9C0J8	lncRNA	protein
AC017074.2	Q9C0J8	lncRNA	protein
AC018359.1	Q9C0J8	lncRNA	protein
AC018730.1	Q9C0J8	lncRNA	protein
AC018742.1	Q9C0J8	lncRNA	protein
AC018832.1	Q9C0J8	lncRNA	protein
AC018866.1	Q9C0J8	lncRNA	protein
AC019055.1	Q9C0J8	lncRNA	protein
AC019117.1	Q9C0J8	lncRNA	protein
AC019118.2	Q9C0J8	lncRNA	protein
AC019186.1	Q9C0J8	lncRNA	protein
AC019330.1	Q9C0J8	lncRNA	protein
AC020663.1	P14866	lncRNA	protein
AC020663.1	Q9C0J8	lncRNA	protein
AC020907.2	Q9C0J8	lncRNA	protein
AC020911.1	Q93062	lncRNA	protein
AC020928.2	Q93062	lncRNA	protein
AC022182.1	Q9C0J8	lncRNA	protein
AC022400.1	Q9C0J8	lncRNA	protein
AC022872.1	P38432	lncRNA	protein
AC022916.1	Q93062	lncRNA	protein
AC023115.1	Q9C0J8	lncRNA	protein
AC023128.1	Q9C0J8	lncRNA	protein
AC023347.1	Q9C0J8	lncRNA	protein
AC023469.2	Q9C0J8	lncRNA	protein
AC023481.1	Q9C0J8	lncRNA	protein
AC023590.1	Q9C0J8	lncRNA	protein
AC023669.1	Q9C0J8	lncRNA	protein
AC024084.1	Q9C0J8	lncRNA	protein
AC024560.3	Q9C0J8	lncRNA	protein
AC025171.1	Q9C0J8	lncRNA	protein
AC025171.1	Q9UKA9	lncRNA	protein
AC026167.1	Q9C0J8	lncRNA	protein
AC026202.3	Q9C0J8	lncRNA	protein
AC026471.6	Q9C0J8	lncRNA	protein
AC026904.1	Q9C0J8	lncRNA	protein
AC034243.1	Q9C0J8	lncRNA	protein
AC040173.1	Q9C0J8	lncRNA	protein
AC040934.1	Q14103	lncRNA	protein
AC053503.4	Q9C0J8	lncRNA	protein
AC058791.1	P55265	lncRNA	protein
AC058791.1	Q9C0J8	lncRNA	protein
AC062021.1	Q9C0J8	lncRNA	protein
AC062029.1	Q9C0J8	lncRNA	protein
AC062031.1	Q9C0J8	lncRNA	protein
AC062032.1	Q9C0J8	lncRNA	protein
AC064834.1	Q9C0J8	lncRNA	protein
AC067960.1	Q9C0J8	lncRNA	protein
AC068057.2	Q9C0J8	lncRNA	protein
AC068196.1	Q9C0J8	lncRNA	protein
AC068286.1	Q9C0J8	lncRNA	protein
AC068473.1	Q14103	lncRNA	protein
AC068483.1	Q9C0J8	lncRNA	protein
AC068489.1	Q9C0J8	lncRNA	protein
AC068831.6	Q9C0J8	lncRNA	protein
AC068858.1	Q9C0J8	lncRNA	protein
AC069155.1	Q9C0J8	lncRNA	protein
AC069287.1	Q9C0J8	lncRNA	protein
AC072062.1	Q9C0J8	lncRNA	protein
AC073071.1	Q9C0J8	lncRNA	protein
AC073130.1	Q9C0J8	lncRNA	protein
AC073130.3	Q9C0J8	lncRNA	protein
AC073133.1	Q9C0J8	lncRNA	protein
AC073218.2	Q9C0J8	lncRNA	protein
AC073254.1	Q9C0J8	lncRNA	protein
AC073257.1	Q9C0J8	lncRNA	protein
AC073316.1	Q9C0J8	lncRNA	protein
AC073325.1	Q9C0J8	lncRNA	protein
AC073869.7	Q9C0J8	lncRNA	protein
AC073987.1	Q9C0J8	lncRNA	protein
AC074286.1	P55265	lncRNA	protein
AC074286.1	Q9C0J8	lncRNA	protein
AC078851.1	Q9C0J8	lncRNA	protein
AC078882.1	Q9C0J8	lncRNA	protein
AC078883.3	Q9C0J8	lncRNA	protein
AC079117.1	Q9C0J8	lncRNA	protein
AC079154.1	Q9C0J8	lncRNA	protein
AC079584.2	Q9C0J8	lncRNA	protein
AC079610.1	P14866	lncRNA	protein
AC079610.1	Q9C0J8	lncRNA	protein
AC079779.4	Q9C0J8	lncRNA	protein
AC079799.2	Q9C0J8	lncRNA	protein
AC079896.1	Q9C0J8	lncRNA	protein
AC083799.1	P14866	lncRNA	protein
AC083799.1	Q9C0J8	lncRNA	protein
AC083843.1	Q9C0J8	lncRNA	protein
AC083843.2	Q9C0J8	lncRNA	protein
AC083864.3	Q9C0J8	lncRNA	protein
AC083900.1	Q9C0J8	lncRNA	protein
AC083949.1	Q9C0J8	lncRNA	protein
AC084018.1	Q93062	lncRNA	protein
AC084125.4	Q9C0J8	lncRNA	protein
AC084809.2	Q9C0J8	lncRNA	protein
AC087392.1	Q9C0J8	lncRNA	protein
AC087501.1	Q9C0J8	lncRNA	protein
AC090044.1	Q9C0J8	lncRNA	protein
AC090103.1	P55265	lncRNA	protein
AC090103.1	Q9C0J8	lncRNA	protein
AC090425.1	Q9C0J8	lncRNA	protein
AC091133.1	Q9C0J8	lncRNA	protein
AC091153.4	Q9C0J8	lncRNA	protein
AC092159.2	Q9C0J8	lncRNA	protein
AC092168.2	P14866	lncRNA	protein
AC092168.2	P55265	lncRNA	protein
AC092168.2	Q9C0J8	lncRNA	protein
AC092171.1	Q93062	lncRNA	protein
AC092198.1	Q9C0J8	lncRNA	protein
AC092296.1	Q93062	lncRNA	protein
AC092329.1	Q14103	lncRNA	protein
AC092484.1	Q9C0J8	lncRNA	protein
AC092620.2	P14866	lncRNA	protein
AC092620.2	Q9C0J8	lncRNA	protein
AC092620.3	Q9C0J8	lncRNA	protein
AC092652.1	Q9C0J8	lncRNA	protein
AC093158.1	Q14103	lncRNA	protein
AC093159.1	Q9C0J8	lncRNA	protein
AC093382.1	Q9C0J8	lncRNA	protein
AC093390.1	Q9C0J8	lncRNA	protein
AC093484.4	P14866	lncRNA	protein
AC093484.4	Q9C0J8	lncRNA	protein
AC093510.1	Q9C0J8	lncRNA	protein
AC093510.2	Q93062	lncRNA	protein
AC093510.2	Q14103	lncRNA	protein
AC093627.7	Q9C0J8	lncRNA	protein
AC093639.1	Q9C0J8	lncRNA	protein
AC093734.1	Q9C0J8	lncRNA	protein
AC093799.1	Q93062	lncRNA	protein
AC093799.1	Q14103	lncRNA	protein
AC093843.1	Q9C0J8	lncRNA	protein
AC096554.1	Q9C0J8	lncRNA	protein
AC096558.1	Q9C0J8	lncRNA	protein
AC096559.1	Q9C0J8	lncRNA	protein
AC096570.1	Q9C0J8	lncRNA	protein
AC096570.2	Q9C0J8	lncRNA	protein
AC096649.1	Q9C0J8	lncRNA	protein
AC096669.1	Q9C0J8	lncRNA	protein
AC097359.2	Q9C0J8	lncRNA	protein
AC098617.1	Q9C0J8	lncRNA	protein
AC098820.2	Q9C0J8	lncRNA	protein
AC098820.3	Q9C0J8	lncRNA	protein
AC098828.2	Q9C0J8	lncRNA	protein
AC099342.1	Q9C0J8	lncRNA	protein
AC099344.2	Q9C0J8	lncRNA	protein
AC099344.3	Q9C0J8	lncRNA	protein
AC099850.1	Q9C0J8	lncRNA	protein
AC100791.1	Q9C0J8	lncRNA	protein
AC100830.3	Q9C0J8	lncRNA	protein
AC103810.2	Q14103	lncRNA	protein
AC104088.1	Q9C0J8	lncRNA	protein
AC104623.2	Q9C0J8	lncRNA	protein
AC104695.3	Q9C0J8	lncRNA	protein
AC104699.1	Q9C0J8	lncRNA	protein
AC104777.1	Q9C0J8	lncRNA	protein
AC104777.2	Q9C0J8	lncRNA	protein
AC104984.4	Q9C0J8	lncRNA	protein
AC105206.1	P14866	lncRNA	protein
AC105206.1	Q9C0J8	lncRNA	protein
AC105760.2	Q9C0J8	lncRNA	protein
AC106053.1	Q9C0J8	lncRNA	protein
AC106786.1	Q9C0J8	lncRNA	protein
AC106874.1	Q9C0J8	lncRNA	protein
AC107072.2	Q9C0J8	lncRNA	protein
AC107079.1	Q9C0J8	lncRNA	protein
AC108051.1	Q9C0J8	lncRNA	protein
AC108066.1	Q9C0J8	lncRNA	protein
AC108142.1	Q9C0J8	lncRNA	protein
AC108463.2	Q9C0J8	lncRNA	protein
AC108676.1	Q9C0J8	lncRNA	protein
AC110491.1	Q14103	lncRNA	protein
AC112200.1	Q9C0J8	lncRNA	protein
AC112721.2	Q9C0J8	lncRNA	protein
AC113167.1	Q9C0J8	lncRNA	protein
AC113607.1	P55265	lncRNA	protein
AC113607.1	Q9C0J8	lncRNA	protein
AC114763.1	Q9C0J8	lncRNA	protein
AC116609.1	Q9C0J8	lncRNA	protein
AC116609.2	Q9C0J8	lncRNA	protein
AC116614.1	Q9C0J8	lncRNA	protein
AC118345.1	Q9C0J8	lncRNA	protein
AC123768.4	Q9C0J8	lncRNA	protein
AC124861.1	Q9C0J8	lncRNA	protein
AC125421.1	Q9C0J8	lncRNA	protein
AC126365.1	Q9C0J8	lncRNA	protein
AC128709.2	Q9C0J8	lncRNA	protein
AC128709.3	Q9C0J8	lncRNA	protein
AC130710.1	Q9C0J8	lncRNA	protein
AC131097.3	Q9C0J8	lncRNA	protein
AC131097.3	Q9UKA9	lncRNA	protein
AC132807.1	Q9C0J8	lncRNA	protein
AC135050.5	Q9C0J8	lncRNA	protein
AC138035.2	P55265	lncRNA	protein
AC139530.1	Q93062	lncRNA	protein
AC139887.4	Q9C0J8	lncRNA	protein
AC141586.5	P55265	lncRNA	protein
AC141586.5	Q9C0J8	lncRNA	protein
AC144450.1	Q9C0J8	lncRNA	protein
AC144521.1	Q9C0J8	lncRNA	protein
AC144836.1	Q9C0J8	lncRNA	protein
AC145098.1	Q93062	lncRNA	protein
AC147651.1	Q9C0J8	lncRNA	protein
AC147651.3	Q9C0J8	lncRNA	protein
AC156455.1	Q9C0J8	lncRNA	protein
AC156455.1	Q93062	lncRNA	protein
AC159540.1	Q9C0J8	lncRNA	protein
ACAP2-IT1	P14866	lncRNA	protein
ACAP2-IT1	P55265	lncRNA	protein
ACAP2-IT1	Q9C0J8	lncRNA	protein
ACTA2-AS1	Q9C0J8	lncRNA	protein
ACTN1-AS1	Q9C0J8	lncRNA	protein
ACVR2B-AS1	Q9C0J8	lncRNA	protein
ADAMTS19-AS1	Q9C0J8	lncRNA	protein
ADAMTS9-AS1	Q9C0J8	lncRNA	protein
ADAMTS9-AS2	P55265	lncRNA	protein
ADAMTS9-AS2	Q9C0J8	lncRNA	protein
ADARB2-AS1	Q9C0J8	lncRNA	protein
ADIPOQ-AS1	Q9C0J8	lncRNA	protein
ADORA2A-AS1	P55265	lncRNA	protein
ADORA2A-AS1	Q9C0J8	lncRNA	protein
ADPGK-AS1	Q9C0J8	lncRNA	protein
AF038458.3	Q9C0J8	lncRNA	protein
AF096876.1	Q9C0J8	lncRNA	protein
AF131215.3	P14866	lncRNA	protein
AF131215.3	P55265	lncRNA	protein
AF131215.3	Q9C0J8	lncRNA	protein
AF131215.4	Q9C0J8	lncRNA	protein
AF131215.6	Q9C0J8	lncRNA	protein
AF230666.2	Q9C0J8	lncRNA	protein
AGAP1-IT1	Q9C0J8	lncRNA	protein
AGBL1-AS1	Q9C0J8	lncRNA	protein
AGBL4-IT1	P14866	lncRNA	protein
AGBL4-IT1	Q9C0J8	lncRNA	protein
AGBL5-IT1	P55265	lncRNA	protein
AIRN	Q9C0J8	lncRNA	protein
AKT3-IT1	Q9C0J8	lncRNA	protein
AL021068.1	Q9C0J8	lncRNA	protein
AL021707.1	P14866	lncRNA	protein
AL021707.1	Q9C0J8	lncRNA	protein
AL022069.1	Q93062	lncRNA	protein
AL022341.1	Q9C0J8	lncRNA	protein
AL109763.1	Q9C0J8	lncRNA	protein
AL137003.1	Q93062	lncRNA	protein
AL137003.1	Q14103	lncRNA	protein
AL139022.1	Q93062	lncRNA	protein
AL139022.1	Q14103	lncRNA	protein
AL139385.1	Q9C0J8	lncRNA	protein
AL139819.1	P14866	lncRNA	protein
AL139819.1	Q9C0J8	lncRNA	protein
AL157871.2	Q9C0J8	lncRNA	protein
AL162497.1	Q9C0J8	lncRNA	protein
AL354696.2	Q93062	lncRNA	protein
AL356740.1	P14866	lncRNA	protein
AL356740.1	Q9C0J8	lncRNA	protein
AL450992.2	Q9C0J8	lncRNA	protein
AL512652.1	Q9C0J8	lncRNA	protein
AL513327.1	Q9C0J8	lncRNA	protein
AL589743.1	Q9C0J8	lncRNA	protein
AL589986.2	Q9C0J8	lncRNA	protein
AL590369.1	P55265	lncRNA	protein
AL590369.1	Q9C0J8	lncRNA	protein
AL592528.1	Q9C0J8	lncRNA	protein
AL645568.1	Q93062	lncRNA	protein
AL928654.1	Q9C0J8	lncRNA	protein
ALDH1L1-AS1	Q9C0J8	lncRNA	protein
ALDH1L1-AS2	Q9C0J8	lncRNA	protein
ALG9-IT1	P14866	lncRNA	protein
ALG9-IT1	Q9C0J8	lncRNA	protein
ALKBH3-AS1	P55265	lncRNA	protein
ALKBH3-AS1	Q9C0J8	lncRNA	protein
ALMS1-IT1	P14866	lncRNA	protein
ALMS1-IT1	Q9C0J8	lncRNA	protein
AMMECR1-IT1	Q9C0J8	lncRNA	protein
ANKRD10-IT1	P14866	lncRNA	protein
ANKRD10-IT1	P55265	lncRNA	protein
ANKRD10-IT1	Q9C0J8	lncRNA	protein
ANKRD44-IT1	P14866	lncRNA	protein
ANKRD44-IT1	P55265	lncRNA	protein
ANKRD44-IT1	Q9C0J8	lncRNA	protein
AP000221.1	Q9C0J8	lncRNA	protein
