source_node	target_node	Source Node Attribute	Target Node Attribute
n264321	Q80Y84	lncRNA	protein
n264321	Q9CQJ4	lncRNA	protein
n264344	Q05C33	lncRNA	protein
n264346	Q05C33	lncRNA	protein
n264410	Q4VA08	lncRNA	protein
n264431	Q05C33	lncRNA	protein
n264435	Q05C33	lncRNA	protein
n264461	Q61188	lncRNA	protein
n264493	Q4VA08	lncRNA	protein
n264581	P84104	lncRNA	protein
n264602	Q4VA08	lncRNA	protein
n264673	Q05C33	lncRNA	protein
n264709	Q05C33	lncRNA	protein
n264747	I6L9I7	lncRNA	protein
n264747	O09106	lncRNA	protein
n264747	O54864	lncRNA	protein
n264747	O88974	lncRNA	protein
n264747	Q7TPM0	lncRNA	protein
n264765	Q05C33	lncRNA	protein
n264766	Q4VA08	lncRNA	protein
n264800	Q05C33	lncRNA	protein
n264882	Q05C33	lncRNA	protein
n264998	Q4VA08	lncRNA	protein
n265007	P84104	lncRNA	protein
n265080	Q05C33	lncRNA	protein
n265122	Q05C33	lncRNA	protein
n265125	Q4VA08	lncRNA	protein
n265145	Q05C33	lncRNA	protein
n265149	Q8CJG0	lncRNA	protein
n265216	Q4VA08	lncRNA	protein
n265226	Q4VA08	lncRNA	protein
n265257	Q05C33	lncRNA	protein
n265303	P84104	lncRNA	protein
n265303	Q8CJG0	lncRNA	protein
n265319	Q4VA08	lncRNA	protein
n265327	Q4VA08	lncRNA	protein
n265334	Q4VA08	lncRNA	protein
n265359	Q4VA08	lncRNA	protein
n265362	Q05C33	lncRNA	protein
n265419	Q4VA08	lncRNA	protein
n265420	Q05C33	lncRNA	protein
n265443	Q05C33	lncRNA	protein
n265471	Q05C33	lncRNA	protein
n265473	Q05C33	lncRNA	protein
n265511	Q4VA08	lncRNA	protein
n265556	Q05C33	lncRNA	protein
n265588	Q05C33	lncRNA	protein
n265588	Q4VA08	lncRNA	protein
n265594	Q4VA08	lncRNA	protein
n265606	Q05C33	lncRNA	protein
n265640	Q05C33	lncRNA	protein
n265651	Q4VA08	lncRNA	protein
n265707	Q4VA08	lncRNA	protein
n265823	Q05C33	lncRNA	protein
n265840	Q05C33	lncRNA	protein
n265872	Q05C33	lncRNA	protein
n265891	Q4VA08	lncRNA	protein
n265930	Q05C33	lncRNA	protein
n265934	Q4VA08	lncRNA	protein
n265940	Q05C33	lncRNA	protein
n265983	Q05C33	lncRNA	protein
n265990	Q8CJG0	lncRNA	protein
n266012	Q4VA08	lncRNA	protein
n266107	Q05C33	lncRNA	protein
n266114	Q05C33	lncRNA	protein
n266114	Q4VA08	lncRNA	protein
n266151	Q05C33	lncRNA	protein
n266174	Q4VA08	lncRNA	protein
n266185	Q05C33	lncRNA	protein
n266284	Q05C33	lncRNA	protein
n266284	Q4VA08	lncRNA	protein
n266285	Q4VA08	lncRNA	protein
n266286	P84104	lncRNA	protein
n266302	Q05C33	lncRNA	protein
n266319	Q05C33	lncRNA	protein
n266341	Q4VA08	lncRNA	protein
n266375	Q05C33	lncRNA	protein
n266402	Q4VA08	lncRNA	protein
n266439	Q4VA08	lncRNA	protein
n266444	Q05C33	lncRNA	protein
n266445	Q4VA08	lncRNA	protein
n266462	Q4VA08	lncRNA	protein
n266483	Q05C33	lncRNA	protein
n266489	Q4VA08	lncRNA	protein
n266495	Q05C33	lncRNA	protein
n266500	Q4VA08	lncRNA	protein
n266549	Q05C33	lncRNA	protein
n266549	Q4VA08	lncRNA	protein
n266565	Q05C33	lncRNA	protein
n266618	Q05C33	lncRNA	protein
n266628	Q05C33	lncRNA	protein
n266643	Q05C33	lncRNA	protein
n266643	Q4VA08	lncRNA	protein
n266677	Q05C33	lncRNA	protein
n266677	Q4VA08	lncRNA	protein
n266697	Q4VA08	lncRNA	protein
n266717	Q4VA08	lncRNA	protein
n266732	Q4VA08	lncRNA	protein
n266733	Q05C33	lncRNA	protein
n266784	Q4VA08	lncRNA	protein
n266814	Q05C33	lncRNA	protein
n266832	Q05C33	lncRNA	protein
n266839	Q4VA08	lncRNA	protein
n266850	Q4VA08	lncRNA	protein
n266856	Q05C33	lncRNA	protein
n266893	Q4VA08	lncRNA	protein
n266910	Q4VA08	lncRNA	protein
n266910	Q8CJG0	lncRNA	protein
n266957	O54864	lncRNA	protein
n266957	Q00899	lncRNA	protein
n266957	Q80Y84	lncRNA	protein
n266959	Q4VA08	lncRNA	protein
n266993	Q05C33	lncRNA	protein
n266997	Q05C33	lncRNA	protein
n267040	Q4VA08	lncRNA	protein
n267057	Q05C33	lncRNA	protein
n267062	Q05C33	lncRNA	protein
n267072	Q05C33	lncRNA	protein
n267077	Q05C33	lncRNA	protein
n267084	Q05C33	lncRNA	protein
n267106	Q05C33	lncRNA	protein
n267107	Q05C33	lncRNA	protein
n267116	Q05C33	lncRNA	protein
n267116	Q4VA08	lncRNA	protein
n267127	Q05C33	lncRNA	protein
n267141	P84104	lncRNA	protein
n267180	Q05C33	lncRNA	protein
n267210	Q05C33	lncRNA	protein
n267210	Q4VA08	lncRNA	protein
n267278	Q61188	lncRNA	protein
n267287	Q4VA08	lncRNA	protein
n267289	Q4VA08	lncRNA	protein
n267302	Q05C33	lncRNA	protein
n267330	Q05C33	lncRNA	protein
n267330	Q4VA08	lncRNA	protein
n267336	Q05C33	lncRNA	protein
n267357	P84104	lncRNA	protein
n267357	Q8VE97	lncRNA	protein
n267371	Q05C33	lncRNA	protein
n267386	P84104	lncRNA	protein
n267386	Q4VA08	lncRNA	protein
n267394	Q05C33	lncRNA	protein
n267405	Q8CJG0	lncRNA	protein
n267420	Q05C33	lncRNA	protein
n267422	Q05C33	lncRNA	protein
n267458	Q05C33	lncRNA	protein
n267478	Q4VA08	lncRNA	protein
n267514	Q05C33	lncRNA	protein
n267527	Q4VA08	lncRNA	protein
n267537	Q05C33	lncRNA	protein
n267543	Q05C33	lncRNA	protein
n267564	Q05C33	lncRNA	protein
n267573	Q4VA08	lncRNA	protein
n267574	Q05C33	lncRNA	protein
n267574	Q4VA08	lncRNA	protein
n267585	Q4VA08	lncRNA	protein
n267611	Q05C33	lncRNA	protein
n267643	Q05C33	lncRNA	protein
n267649	Q05C33	lncRNA	protein
n267649	Q4VA08	lncRNA	protein
n267662	Q4VA08	lncRNA	protein
n267686	Q05C33	lncRNA	protein
n267689	Q4VA08	lncRNA	protein
n267712	Q05C33	lncRNA	protein
n267727	Q05C33	lncRNA	protein
n267729	Q4VA08	lncRNA	protein
n267743	Q05C33	lncRNA	protein
n267792	Q4VA08	lncRNA	protein
n267800	Q05C33	lncRNA	protein
n267810	Q05C33	lncRNA	protein
n267817	Q05C33	lncRNA	protein
n267823	Q05C33	lncRNA	protein
n267824	Q05C33	lncRNA	protein
n267878	Q05C33	lncRNA	protein
n267909	Q05C33	lncRNA	protein
n267929	Q4VA08	lncRNA	protein
n267941	Q05C33	lncRNA	protein
n267941	Q4VA08	lncRNA	protein
n267983	Q05C33	lncRNA	protein
n267990	Q4VA08	lncRNA	protein
n267991	Q05C33	lncRNA	protein
n268040	Q05C33	lncRNA	protein
n268062	P41230	lncRNA	protein
n268062	Q2YDW7	lncRNA	protein
n268062	Q7TPM0	lncRNA	protein
n268062	Q8CHK4	lncRNA	protein
n268063	Q05C33	lncRNA	protein
n268070	Q05C33	lncRNA	protein
n268098	Q4VA08	lncRNA	protein
n268102	Q05C33	lncRNA	protein
n268103	I6L9I7	lncRNA	protein
n268103	O54864	lncRNA	protein
n268103	O88974	lncRNA	protein
n268103	Q2YDW7	lncRNA	protein
n268103	Q7TPM0	lncRNA	protein
n268110	Q05C33	lncRNA	protein
n268154	Q05C33	lncRNA	protein
n268158	Q4VA08	lncRNA	protein
n268168	Q4VA08	lncRNA	protein
n268178	Q05C33	lncRNA	protein
n268206	Q4VA08	lncRNA	protein
n268252	Q4VA08	lncRNA	protein
n268260	Q4VA08	lncRNA	protein
n268281	Q4VA08	lncRNA	protein
n268286	Q05C33	lncRNA	protein
n268292	Q05C33	lncRNA	protein
n268318	Q05C33	lncRNA	protein
n268336	Q4VA08	lncRNA	protein
n268344	Q05C33	lncRNA	protein
n268351	Q05C33	lncRNA	protein
n268366	P84104	lncRNA	protein
n268386	Q05C33	lncRNA	protein
n268393	Q05C33	lncRNA	protein
n268410	Q05C33	lncRNA	protein
n268421	Q05C33	lncRNA	protein
n268433	Q4VA08	lncRNA	protein
n268434	Q61188	lncRNA	protein
n268450	Q05C33	lncRNA	protein
n268463	Q4VA08	lncRNA	protein
n268527	Q05C33	lncRNA	protein
n268548	Q4VA08	lncRNA	protein
n268566	P61965	lncRNA	protein
n268566	P97474	lncRNA	protein
n268566	Q61080	lncRNA	protein
n268566	Q61188	lncRNA	protein
n268566	Q80U70	lncRNA	protein
n268600	Q05C33	lncRNA	protein
n268600	Q4VA08	lncRNA	protein
n268622	Q05C33	lncRNA	protein
n268627	Q05C33	lncRNA	protein
n268628	Q05C33	lncRNA	protein
n268648	Q05C33	lncRNA	protein
n268650	Q4VA08	lncRNA	protein
n268670	Q05C33	lncRNA	protein
n268680	Q4VA08	lncRNA	protein
n268743	Q05C33	lncRNA	protein
n268781	Q05C33	lncRNA	protein
n268784	Q4VA08	lncRNA	protein
n268793	Q05C33	lncRNA	protein
n268815	Q4VA08	lncRNA	protein
n268826	Q4VA08	lncRNA	protein
n268836	Q05C33	lncRNA	protein
n268841	Q4VA08	lncRNA	protein
n268850	Q05C33	lncRNA	protein
n268855	Q05C33	lncRNA	protein
n268866	Q4VA08	lncRNA	protein
n268888	Q05C33	lncRNA	protein
n268947	Q05C33	lncRNA	protein
n268949	Q4VA08	lncRNA	protein
n268950	Q05C33	lncRNA	protein
n268966	Q4VA08	lncRNA	protein
n268973	Q05C33	lncRNA	protein
n268984	I6L9I7	lncRNA	protein
n268984	P41230	lncRNA	protein
n268984	Q80U70	lncRNA	protein
n268984	Q80Y84	lncRNA	protein
n268984	Q9CQJ4	lncRNA	protein
n269034	Q05C33	lncRNA	protein
n269064	Q05C33	lncRNA	protein
n269067	Q05C33	lncRNA	protein
n269085	Q05C33	lncRNA	protein
n269111	Q4VA08	lncRNA	protein
n269140	Q4VA08	lncRNA	protein
n269160	Q05C33	lncRNA	protein
n269201	Q05C33	lncRNA	protein
n269250	Q05C33	lncRNA	protein
n269255	Q05C33	lncRNA	protein
n269255	Q4VA08	lncRNA	protein
n269262	Q05C33	lncRNA	protein
n269288	Q4VA08	lncRNA	protein
n269290	Q05C33	lncRNA	protein
n269312	Q4VA08	lncRNA	protein
n269340	Q05C33	lncRNA	protein
n269349	Q4VA08	lncRNA	protein
n269358	Q05C33	lncRNA	protein
n269358	Q4VA08	lncRNA	protein
n269390	Q4VA08	lncRNA	protein
n269419	Q4VA08	lncRNA	protein
n269421	Q4VA08	lncRNA	protein
n269425	Q4VA08	lncRNA	protein
n269437	Q4VA08	lncRNA	protein
n269440	Q4VA08	lncRNA	protein
n269451	Q4VA08	lncRNA	protein
n269457	Q05C33	lncRNA	protein
n269472	Q05C33	lncRNA	protein
n269515	Q4VA08	lncRNA	protein
n269538	Q05C33	lncRNA	protein
n269555	Q05C33	lncRNA	protein
n269565	Q05C33	lncRNA	protein
n269569	Q05C33	lncRNA	protein
n269570	Q05C33	lncRNA	protein
n269581	Q05C33	lncRNA	protein
n269584	Q05C33	lncRNA	protein
n269586	Q4VA08	lncRNA	protein
n269590	Q05C33	lncRNA	protein
n269610	Q4VA08	lncRNA	protein
n269615	Q4VA08	lncRNA	protein
n269625	Q4VA08	lncRNA	protein
n269634	Q4VA08	lncRNA	protein
n269636	Q05C33	lncRNA	protein
n269640	Q05C33	lncRNA	protein
n269655	Q05C33	lncRNA	protein
n269655	Q4VA08	lncRNA	protein
n269668	Q05C33	lncRNA	protein
n269723	Q05C33	lncRNA	protein
n269733	Q4VA08	lncRNA	protein
n269743	P84104	lncRNA	protein
n269743	Q8CJG0	lncRNA	protein
n269743	Q8VE97	lncRNA	protein
n269761	Q05C33	lncRNA	protein
n269762	Q4VA08	lncRNA	protein
n269789	Q4VA08	lncRNA	protein
n269817	Q05C33	lncRNA	protein
n269830	Q4VA08	lncRNA	protein
n269869	Q05C33	lncRNA	protein
n269891	Q05C33	lncRNA	protein
n269901	Q8CJG0	lncRNA	protein
n269902	Q4VA08	lncRNA	protein
n269922	Q05C33	lncRNA	protein
n269926	Q4VA08	lncRNA	protein
n269951	Q4VA08	lncRNA	protein
n269999	Q4VA08	lncRNA	protein
n270061	Q05C33	lncRNA	protein
n270185	Q05C33	lncRNA	protein
n270185	Q4VA08	lncRNA	protein
n270209	Q05C33	lncRNA	protein
n270237	Q05C33	lncRNA	protein
n270333	Q4VA08	lncRNA	protein
n270436	Q4VA08	lncRNA	protein
n270457	Q05C33	lncRNA	protein
n270485	Q05C33	lncRNA	protein
n270487	Q05C33	lncRNA	protein
n270505	O54864	lncRNA	protein
n270505	O88974	lncRNA	protein
n270539	Q4VA08	lncRNA	protein
n270550	Q4VA08	lncRNA	protein
n270567	Q05C33	lncRNA	protein
n270573	Q05C33	lncRNA	protein
n270596	Q61188	lncRNA	protein
n270598	Q05C33	lncRNA	protein
n270601	Q4VA08	lncRNA	protein
n270616	Q4VA08	lncRNA	protein
n270627	Q4VA08	lncRNA	protein
n270637	Q4VA08	lncRNA	protein
n270643	Q4VA08	lncRNA	protein
n270653	Q4VA08	lncRNA	protein
n270688	Q05C33	lncRNA	protein
n270690	Q05C33	lncRNA	protein
n270696	Q05C33	lncRNA	protein
n270696	Q4VA08	lncRNA	protein
n270697	Q4VA08	lncRNA	protein
n270712	Q05C33	lncRNA	protein
n270732	Q05C33	lncRNA	protein
n270755	Q4VA08	lncRNA	protein
n270765	Q4VA08	lncRNA	protein
n270795	Q05C33	lncRNA	protein
n270820	Q05C33	lncRNA	protein
n270826	Q05C33	lncRNA	protein
n270830	Q05C33	lncRNA	protein
n270858	I6L9I7	lncRNA	protein
n270858	Q00899	lncRNA	protein
n270858	Q8CHK4	lncRNA	protein
n270887	Q4VA08	lncRNA	protein
n270905	Q05C33	lncRNA	protein
n270913	Q4VA08	lncRNA	protein
n270914	Q4VA08	lncRNA	protein
n270945	Q05C33	lncRNA	protein
n270945	Q4VA08	lncRNA	protein
n270960	Q4VA08	lncRNA	protein
n270965	Q05C33	lncRNA	protein
n270970	Q05C33	lncRNA	protein
n270979	Q4VA08	lncRNA	protein
n270988	Q4VA08	lncRNA	protein
n271011	Q05C33	lncRNA	protein
n271011	Q4VA08	lncRNA	protein
n271049	Q05C33	lncRNA	protein
n271076	Q4VA08	lncRNA	protein
n271077	Q05C33	lncRNA	protein
n271081	Q4VA08	lncRNA	protein
n271091	Q05C33	lncRNA	protein
n271131	Q4VA08	lncRNA	protein
n271140	Q4VA08	lncRNA	protein
n271162	Q05C33	lncRNA	protein
n271192	Q4VA08	lncRNA	protein
n271254	Q05C33	lncRNA	protein
n271260	Q4VA08	lncRNA	protein
n271269	Q05C33	lncRNA	protein
n271270	Q05C33	lncRNA	protein
n271273	Q05C33	lncRNA	protein
n271277	Q05C33	lncRNA	protein
n271283	Q05C33	lncRNA	protein
n271302	Q4VA08	lncRNA	protein
n271316	Q05C33	lncRNA	protein
n271347	Q05C33	lncRNA	protein
n271352	Q05C33	lncRNA	protein
n271364	Q05C33	lncRNA	protein
n271375	Q4VA08	lncRNA	protein
n271388	Q05C33	lncRNA	protein
n271402	Q05C33	lncRNA	protein
n271408	Q05C33	lncRNA	protein
n271449	Q05C33	lncRNA	protein
n271454	Q05C33	lncRNA	protein
n271459	Q4VA08	lncRNA	protein
n271462	Q8VE97	lncRNA	protein
n271471	Q4VA08	lncRNA	protein
n271477	Q05C33	lncRNA	protein
n271477	Q4VA08	lncRNA	protein
n271481	Q05C33	lncRNA	protein
n271489	Q05C33	lncRNA	protein
n271495	Q05C33	lncRNA	protein
n271498	Q4VA08	lncRNA	protein
n271506	Q05C33	lncRNA	protein
n271540	Q05C33	lncRNA	protein
n271568	Q05C33	lncRNA	protein
n271569	Q05C33	lncRNA	protein
n271601	Q05C33	lncRNA	protein
n271624	Q05C33	lncRNA	protein
n271637	Q4VA08	lncRNA	protein
n271643	Q05C33	lncRNA	protein
n271644	Q05C33	lncRNA	protein
n271659	Q4VA08	lncRNA	protein
n271671	Q05C33	lncRNA	protein
n271681	Q05C33	lncRNA	protein
n271683	Q05C33	lncRNA	protein
n271684	Q05C33	lncRNA	protein
n271730	Q4VA08	lncRNA	protein
n271742	Q05C33	lncRNA	protein
n271748	Q05C33	lncRNA	protein
n271769	Q05C33	lncRNA	protein
n271776	Q4VA08	lncRNA	protein
n271812	Q05C33	lncRNA	protein
n271815	Q05C33	lncRNA	protein
n271815	Q4VA08	lncRNA	protein
n271826	Q05C33	lncRNA	protein
n271828	Q05C33	lncRNA	protein
n271843	Q05C33	lncRNA	protein
n271843	Q4VA08	lncRNA	protein
n271858	Q4VA08	lncRNA	protein
n271859	Q4VA08	lncRNA	protein
n271869	Q4VA08	lncRNA	protein
n271880	Q4VA08	lncRNA	protein
n271881	Q05C33	lncRNA	protein
n271888	Q05C33	lncRNA	protein
n271907	Q05C33	lncRNA	protein
n271916	Q05C33	lncRNA	protein
n271918	Q05C33	lncRNA	protein
n271929	Q4VA08	lncRNA	protein
n271944	Q05C33	lncRNA	protein
n271949	Q4VA08	lncRNA	protein
n271961	Q05C33	lncRNA	protein
n271968	Q05C33	lncRNA	protein
n271973	Q05C33	lncRNA	protein
n272000	Q05C33	lncRNA	protein
n272004	Q05C33	lncRNA	protein
n272014	Q05C33	lncRNA	protein
n272014	Q4VA08	lncRNA	protein
n272021	Q4VA08	lncRNA	protein
n272030	Q4VA08	lncRNA	protein
n272072	Q05C33	lncRNA	protein
n272083	Q4VA08	lncRNA	protein
n272087	Q05C33	lncRNA	protein
n272087	Q4VA08	lncRNA	protein
n272095	Q05C33	lncRNA	protein
n272098	Q4VA08	lncRNA	protein
n272107	Q4VA08	lncRNA	protein
n272113	Q05C33	lncRNA	protein
n272119	Q05C33	lncRNA	protein
n272119	Q4VA08	lncRNA	protein
n272120	Q4VA08	lncRNA	protein
n272135	Q05C33	lncRNA	protein
n272135	Q4VA08	lncRNA	protein
n272159	Q05C33	lncRNA	protein
n272168	Q05C33	lncRNA	protein
n272173	Q05C33	lncRNA	protein
n272174	Q4VA08	lncRNA	protein
n272178	Q4VA08	lncRNA	protein
n272183	Q05C33	lncRNA	protein
n272206	Q05C33	lncRNA	protein
n272206	Q4VA08	lncRNA	protein
n272208	Q05C33	lncRNA	protein
n272216	Q05C33	lncRNA	protein
n272243	Q4VA08	lncRNA	protein
n272244	Q4VA08	lncRNA	protein
n272261	Q05C33	lncRNA	protein
n272268	Q05C33	lncRNA	protein
n272286	Q05C33	lncRNA	protein
n272287	Q05C33	lncRNA	protein
n272379	Q05C33	lncRNA	protein
n272385	Q05C33	lncRNA	protein
n272386	Q05C33	lncRNA	protein
n272392	Q05C33	lncRNA	protein
n272424	Q4VA08	lncRNA	protein
n272428	Q05C33	lncRNA	protein
n272431	Q05C33	lncRNA	protein
n272441	Q4VA08	lncRNA	protein
n272444	Q4VA08	lncRNA	protein
n272445	Q05C33	lncRNA	protein
n272445	Q4VA08	lncRNA	protein
n272502	Q05C33	lncRNA	protein
n272525	Q4VA08	lncRNA	protein
n272533	Q05C33	lncRNA	protein
n272535	O09106	lncRNA	protein
n272535	O88974	lncRNA	protein
n272535	Q7TPM0	lncRNA	protein
n272546	P84104	lncRNA	protein
n272546	Q8CJG0	lncRNA	protein
n272546	Q8VE97	lncRNA	protein
n272569	Q05C33	lncRNA	protein
n272576	Q8VE97	lncRNA	protein
n272581	Q4VA08	lncRNA	protein
n272587	Q4VA08	lncRNA	protein
n272632	Q05C33	lncRNA	protein
n272656	Q05C33	lncRNA	protein
n272668	Q05C33	lncRNA	protein
n272675	Q05C33	lncRNA	protein
n272679	Q05C33	lncRNA	protein
n272692	Q05C33	lncRNA	protein
n272708	Q05C33	lncRNA	protein
n272767	Q4VA08	lncRNA	protein
n272768	Q05C33	lncRNA	protein
n272768	Q4VA08	lncRNA	protein
n272804	Q05C33	lncRNA	protein
n272806	Q4VA08	lncRNA	protein
n272822	Q05C33	lncRNA	protein
n272838	P84104	lncRNA	protein
n272838	Q05C33	lncRNA	protein
n272838	Q8VE97	lncRNA	protein
n272841	Q05C33	lncRNA	protein
n272878	O88974	lncRNA	protein
n272878	P41230	lncRNA	protein
n272878	Q80U70	lncRNA	protein
n272887	Q05C33	lncRNA	protein
n272913	Q05C33	lncRNA	protein
n272913	Q4VA08	lncRNA	protein
n272926	Q4VA08	lncRNA	protein
n272927	Q05C33	lncRNA	protein
n272937	Q05C33	lncRNA	protein
n272943	Q4VA08	lncRNA	protein
n272989	Q4VA08	lncRNA	protein
n272997	Q4VA08	lncRNA	protein
n272999	Q8VE97	lncRNA	protein
n273012	Q05C33	lncRNA	protein
n273033	Q05C33	lncRNA	protein
n273069	Q4VA08	lncRNA	protein
n273081	Q4VA08	lncRNA	protein
n273133	Q05C33	lncRNA	protein
n273140	Q05C33	lncRNA	protein
n273269	Q05C33	lncRNA	protein
n273296	Q05C33	lncRNA	protein
n273329	Q05C33	lncRNA	protein
n273416	Q05C33	lncRNA	protein
n273429	Q4VA08	lncRNA	protein
n273432	Q4VA08	lncRNA	protein
n273443	Q05C33	lncRNA	protein
n273506	Q4VA08	lncRNA	protein
n273508	Q4VA08	lncRNA	protein
n273513	Q05C33	lncRNA	protein
n273529	Q05C33	lncRNA	protein
n273547	Q05C33	lncRNA	protein
n273558	Q05C33	lncRNA	protein
n273613	Q05C33	lncRNA	protein
n273619	O54864	lncRNA	protein
n273619	O88974	lncRNA	protein
n273619	P41230	lncRNA	protein
n273619	Q00899	lncRNA	protein
n273619	Q80Y84	lncRNA	protein
n273619	Q9CQJ4	lncRNA	protein
n273625	Q05C33	lncRNA	protein
n273643	Q05C33	lncRNA	protein
n273652	Q4VA08	lncRNA	protein
n273673	Q05C33	lncRNA	protein
n273673	Q4VA08	lncRNA	protein
n273691	Q05C33	lncRNA	protein
n273694	Q05C33	lncRNA	protein
n273699	Q05C33	lncRNA	protein
n273702	Q05C33	lncRNA	protein
n273704	Q4VA08	lncRNA	protein
n273709	Q05C33	lncRNA	protein
n273711	Q05C33	lncRNA	protein
n273720	Q4VA08	lncRNA	protein
n273731	Q05C33	lncRNA	protein
n273737	Q05C33	lncRNA	protein
n273739	Q05C33	lncRNA	protein
n273739	Q4VA08	lncRNA	protein
n273783	Q4VA08	lncRNA	protein
n273794	Q4VA08	lncRNA	protein
n273834	Q05C33	lncRNA	protein
n273836	I6L9I7	lncRNA	protein
n273836	Q00899	lncRNA	protein
n273836	Q7TPM0	lncRNA	protein
n273836	Q80U70	lncRNA	protein
n273857	Q4VA08	lncRNA	protein
n273923	Q05C33	lncRNA	protein
n273938	Q4VA08	lncRNA	protein
n273946	Q05C33	lncRNA	protein
n273947	Q05C33	lncRNA	protein
n273955	Q4VA08	lncRNA	protein
n274008	Q05C33	lncRNA	protein
n274025	Q4VA08	lncRNA	protein
n274037	Q05C33	lncRNA	protein
n274038	Q4VA08	lncRNA	protein
n274040	Q05C33	lncRNA	protein
n274061	Q05C33	lncRNA	protein
n274076	Q05C33	lncRNA	protein
